Internal ID,Credit System,Accrediting Body,Institution Name,Institution CRM ID,Unique Institution Name,New institution-flag,Internal ID
9178,,Federal Department of Education,Moscow Institute of Psychoanalysis,6228413D-D15A-E911-8106-000C29A8E632,Moscow Institute of Psychoanalysis,No,151
9179,Semester,National Accreditation Agecy of Rushy of the Ministry of Education of the Russian Federation,Moscow Psychological and Social University,49779176-D15A-E911-8106-000C29A8E632,Moscow Psychological and Social University,No,152
9180,,alternative path,Multicultural Alliance of Behavior Analysts,EEB5EC60-5D68-E911-8106-000C29A8E632,Multicultural Alliance of Behavior Analysts,No,153
9181,Semester,Southern Association of Colleges and Schools Commission on Colleges,Murray State University,F098F720-AC99-E911-810E-000C29A8E632,Murray State University,No,154
9182,Semester,College of Extension Education or Graduate Institute of Rehabilitation Counseling,National Changhua University of Education,79DA6E32-D55A-E911-8106-000C29A8E632,National Changhua University of Education,No,155
9183,Semester,Higher Learning Commission,National Louis University,268D7697-D55A-E911-8106-000C29A8E632,National Louis University,No,156
9184,Semester,National Pingtung University,National Pingtung University,5BCE2592-D65A-E911-8106-000C29A8E632,National Pingtung University,No,157
9185,Monthly,WASC Senior College and University Commission,National University,D3CFEF59-6200-E411-BEB5-00505683000D,National University,No,158
9186,Semester,Higher Education Authority,"National University of Ireland, Galway",4E79E6AD-C2B2-E411-BF61-0050569C00A7,National University of Ireland Galway,No,159
9187,Semester,Member of Colleges & Institutes of Canada,Niagara College,191A99FC-D65A-E911-8106-000C29A8E632,Niagara College,No,160
9188,Semester,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC),Nicholls State University,2E41EF8C-D75A-E911-8106-000C29A8E632,Nicholls State University,No,161
1350,Continual enrollment every Monday,WASC Senior College and University Commission,Northcentral University,E152BF17-D8B1-EA11-815A-000C29A8E632,Northcentral University,Yes,162
9189,Semester,New England Commission of Higher Education,Northeastern University,10D0EF59-6200-E411-BEB5-00505683000D,Northeastern University,No,163
9190,Semester,New England Commission of Higher Education,Northeastern University,8B659312-AB99-E911-810E-000C29A8E632,Northeastern University,No,163
9191,Semester,The Higher Learning Commission,Northern Arizona University,13D0EF59-6200-E411-BEB5-00505683000D,Northern Arizona University,No,164
9192,Semester,Higher Learning Commission,Northern Illinois University,46A77ECA-D75A-E911-8106-000C29A8E632,Northern Illinois University,No,165
9193,Semester,Southern Association of Colleges & Schools Commission on Colleges,Northern Kentucky University,83294B19-D85A-E911-8106-000C29A8E632,Northern Kentucky University,No,166
9194,Semester,Higher Learning Commission,Northern Michigan University,12D0EF59-6200-E411-BEB5-00505683000D,Northern Michigan University,No,167
9195,Semester,New England Commission of Higher Education,Northern Vermont University - Johnson,D08B219D-D85A-E911-8106-000C29A8E632,Northern Vermont University-Johnson,No,168
9196,Semester,Southern Association of Colleges and Schools Commission on Colleges,Nova Southeastern University/Mailman Segal Center for Human Development,1ED0EF59-6200-E411-BEB5-00505683000D,Nova Southeastern University,No,169
9197,Semester,Higher Learning Commission,Oakland University,283FFA7C-6058-E811-80FE-000C29A8E632,Oakland University,No,170
9198,Semester,Higher Learning Commission,"Ohio State University, The",7DDA5A2E-CEB2-E411-BF61-0050569C00A7,Ohio State University,No,171
9199,Semester,Higher Learning Commission,Oklahoma State University,4B7261FB-D85A-E911-8106-000C29A8E632,Oklahoma State University,No,172
9200,Semester,Southern Association of Colleges and Schools Commission on Colleges,Old Dominion University,9EBF8E76-D95A-E911-8106-000C29A8E632,Old Dominion University,No,173
9201,Semester,please provide accrediting body information,Oranim Academic College of Education,00C9E437-DB5A-E911-8106-000C29A8E632,Oranim Academic College of Education,No,174
9202,Quarter,Northwest Commission on Colleges and Universities,Oregon Institute of Technology,1976118D-DD5A-E911-8106-000C29A8E632,Oregon Institute of Technology,No,175
9203,Semester,NOKUT/ABAI,Oslo Metropolitan University,48566EA5-E15A-E911-8106-000C29A8E632,Oslo and Akershus University College of Applied Sciences,No,176
9742,Semester,https://www.chea.org/ouachita-baptist-university,Ouachita Baptist University,DEDB74FD-E948-EA11-8140-000C29A8E632,Ouachita Baptist University,Yes,177
9204,Semester,alternative path,Our Sunny World,14138C04-E25A-E911-8106-000C29A8E632,Our Sunny World,No,178
9205,Semester,Middle States Commission on Higher Education,Pennsylvania State University,4F7383A1-F5B1-E811-8102-000C29A8E632,Pennsylvania State University,No,179
9206,Semester,Middle States Commision on Higher Education,Pennsylvania State University Harrisburg,F366BEE7-E25A-E911-8106-000C29A8E632,Pennsylvania State University Harrisburg,No,180
9207,Semester,Western Association,Pepperdine University,FC416783-E65A-E911-8106-000C29A8E632,Pepperdine University,No,181
9208,Semester,Middle States Commission on Higher Education,Philadelphia College of Osteopathic Medicine,88A83A8F-0F5B-E511-A86B-0050569C00A7,Philadelphia College of Osteopathic Medicine,No,182
9209,Semester,Higher Learning Commission,Pittsburg State University,BE098F37-E75A-E911-8106-000C29A8E632,Pittsburg State University,No,183
9210,Quarter,Northwest Commission on Colleges & Universities,Portland State University,FA7E53CA-E75A-E911-8106-000C29A8E632,Portland State University,No,184
9211,Semester,Higher Learning Commission,Purdue University,DFF2697D-CBB2-E411-BF61-0050569C00A7,Purdue University,No,185
9212,Quarter,Higher Learning Commission,Purdue University Global,2634896C-6029-E911-8106-000C29A8E632,Purdue University Global,No,186
9213,Semester,tbd,Pusan National University,64A7BD9E-EC5A-E911-8106-000C29A8E632,Pusan National University,No,187
9214,Semester,Higher Education Evaluation Center of the Ministry of Higher Education,Qingdao University,EB1278D2-ED5A-E911-8106-000C29A8E632,Qingdao University,No,188
9215,Semester,Middle States Commission on Higher Education,Queens College,767EF840-EE5A-E911-8106-000C29A8E632,Queens College,No,189
9216,"The programme follows the UK Credit Accumulation and Transfer Scheme (CATS), in which 1 credit is equivalent to 10 notional hours of study (contact time and allocation for self-study).",Queen's University Belfast,Queen's University Belfast,EBC1CA74-EF5A-E911-8106-000C29A8E632,Queen's University Belfast,No,190
9217,Semester,New England Association of Schools & Colleges,Regis College,2FC0736E-F05A-E911-8106-000C29A8E632,Regis College,No,191
9218,European Credit Transfer System,Icelandic Ministry of Education,Reykjavík University,FEAF17E3-F15A-E911-8106-000C29A8E632,Reykjavík University,No,192
