internalid,custrecord_rc_crse_crm_id,externalid,custrecord_rc_course_title,custrecord_rc_course_number,custrecord_rc_course_credit_level,custrecord_rc_course_credit_hours,custrecord_rc_course_instruction_mode,COURSE_SEQUENCE_COURSE_ASIGNMENT_CRM_ID,custrecord_rc_course_institution_name_uniq,custrecord_rc_course_institution_name,custrecord_rc_course_inst,custrecord_rc_course_dept,rc_course_alterations,ID
25936,c46eca5b-24e8-4cde-bb42-952971cb2096,c46eca5b-24e8-4cde-bb42-952971cb2096,Ethical and Legal Issues in Applied Behavior Analysis,108,Graduate,30,Hybrid,30c99451-92c9-4dbd-94d2-490e1193fe52,SEEK Applied Behavior Analysis Association-Taiwan,SEEK Applied Behavior Analysis Association - Taiwan,7C77E117-035B-E911-8106-000C29A8E632,Behavior Analysis,{Number:108}{Title:Ethical and Legal Issues in Applied Behavior Analysis},30c99451-92c9-4dbd-94d2-490e1193fe52c46eca5b-24e8-4cde-bb42-952971cb2096
27632,f3ef31e0-ede8-4f10-9e3d-dba56fabb70a,f3ef31e0-ede8-4f10-9e3d-dba56fabb70a,Ethical and Legal Issues in Applied Behavior Analysis,108,Graduate,30,Hybrid,80c87906-62d9-4004-8d05-4ced2dedaf49,CAPPDR-SEEK,CAPPDR-SEEK,2090EE70-A15B-E911-8106-000C29A8E632,SEEK ABA-Taiwan,{Number:108}{Title:Ethical and Legal Issues in Applied Behavior Analysis},80c87906-62d9-4004-8d05-4ced2dedaf49f3ef31e0-ede8-4f10-9e3d-dba56fabb70a
25688,2ca523a0-3f3f-4bc1-88f1-6a3129923449,2ca523a0-3f3f-4bc1-88f1-6a3129923449,Instruction and Learning in Early Childhood Special Education,3400/7400,Graduate,3,On-Campus,24660fc2-44fb-4a16-ba56-348ec7c55fe5,Vanderbilt University,Vanderbilt University,3C55E065-6200-E411-BEB5-00505683000D,UnNamedDepartment,{Number:3400}{Number:7400}{Title:Foundations of ec sped},24660fc2-44fb-4a16-ba56-348ec7c55fe52ca523a0-3f3f-4bc1-88f1-6a3129923449
26437,5e0ed837-7aef-41e3-953f-92aed1c3de4b,5e0ed837-7aef-41e3-953f-92aed1c3de4b,Administering Ethical Behavior Analytic Services,3850/7430,Graduate,3,On-Campus,48cb5522-3f31-4015-8ff5-7ea1b5e28e46,Vanderbilt University,Vanderbilt University,3C55E065-6200-E411-BEB5-00505683000D,UnNamedDepartment,{Number:3850}{Number:7430}{Title:Admin ethic bhav anal services},48cb5522-3f31-4015-8ff5-7ea1b5e28e465e0ed837-7aef-41e3-953f-92aed1c3de4b
28464,0593ec31-57e6-4a9e-88c8-f4e4f0271430,0593ec31-57e6-4a9e-88c8-f4e4f0271430,Advanced Procedures in Classroom Management and Social Skills Instruction for Students with Mild/Moderate Disabilities,3860/7600,Graduate,3,On-Campus,a5fb4cb7-6ce6-4497-a126-23c76c3efda5,Vanderbilt University,Vanderbilt University,3C55E065-6200-E411-BEB5-00505683000D,UnNamedDepartment,{Number:3860}{Number:7600}{Title:Classroom management},a5fb4cb7-6ce6-4497-a126-23c76c3efda50593ec31-57e6-4a9e-88c8-f4e4f0271430
26890,695ae96f-73cd-46be-b376-58ddf38eae32,695ae96f-73cd-46be-b376-58ddf38eae32,Introduction to Behavioral Intervention in Autism,PSYC.5610,Undergraduate,3,Online,5ecdfd15-aaf4-4822-8bea-f30220911cfd,University of Massachusetts Lowell,University of Massachusetts Lowell,F14FE5A8-FCB1-E411-B490-0050569C00A7,Psychology,{Number:47.561}{Number:PSYC 5610},5ecdfd15-aaf4-4822-8bea-f30220911cfd695ae96f-73cd-46be-b376-58ddf38eae32
25394,29c0d501-889b-42b7-8831-3d9776ecf761,29c0d501-889b-42b7-8831-3d9776ecf761,Teaching and Positive Behavioral Support in Autism,PSYC.5620,Graduate,3,Online,1420e1e9-8976-4589-84f3-4ec55248a0ae,University of Massachusetts Lowell,University of Massachusetts Lowell,F14FE5A8-FCB1-E411-B490-0050569C00A7,Psychology,{Number:47.562}{Number:PSYC 5620},1420e1e9-8976-4589-84f3-4ec55248a0ae29c0d501-889b-42b7-8831-3d9776ecf761
29589,628979f6-3063-45f9-a3a7-b3cbda6d9ac9,628979f6-3063-45f9-a3a7-b3cbda6d9ac9,Management Strategies in Applied Behavior Interventions,PSYC.5630,Undergraduate,3,Online,dc542a33-1e48-45bd-ab29-e152cca37a08,University of Massachusetts Lowell,University of Massachusetts Lowell,F14FE5A8-FCB1-E411-B490-0050569C00A7,Psychology,{Number:47.563}{Number:PSYC 5630},dc542a33-1e48-45bd-ab29-e152cca37a08628979f6-3063-45f9-a3a7-b3cbda6d9ac9
26452,c814ed13-9482-4cac-a08f-4d068b740862,c814ed13-9482-4cac-a08f-4d068b740862,Functional Analysis and Treatment of Challening Behavior,PSYC.5660,Graduate,3,Online,494a971a-116f-4ca6-8425-abefa74d8135,University of Massachusetts Lowell,University of Massachusetts Lowell,F14FE5A8-FCB1-E411-B490-0050569C00A7,Psychology,{Number:47.566}{Number:PSYC 5666},494a971a-116f-4ca6-8425-abefa74d8135c814ed13-9482-4cac-a08f-4d068b740862
28618,33c46b21-fccc-471f-9ddb-e47c9d2c4ba5,33c46b21-fccc-471f-9ddb-e47c9d2c4ba5,Targeted Topics in Behavior Analysis,5017,Graduate,3,Online,acac2013-e8f8-4a59-9bb6-d2f02566b197,Florida Institute of Technology,Florida Tech,F58CF753-6200-E411-BEB5-00505683000D,Behavior Analysis,{Number:5017b}{Title:Targeted Topics in Behavior Analysis},acac2013-e8f8-4a59-9bb6-d2f02566b19733c46b21-fccc-471f-9ddb-e47c9d2c4ba5
25496,26582614-9c61-4678-bd99-dd7e365e0ee0,26582614-9c61-4678-bd99-dd7e365e0ee0,[SPRING 2012] Topics in Applied Behaviour Analysis: Diverse Applications of ABA,ADST 5V73,Graduate,36,On-Campus,1a62548b-18df-4673-be2b-df63a031a1f1,Brock University,Brock University,E798D86B-6200-E411-BEB5-00505683000D,Applied Disability Studies,{Number:5V70}{Number:5V71}{Number:5V72}{Title:Topics in Applied Behaviour Analysis},1a62548b-18df-4673-be2b-df63a031a1f126582614-9c61-4678-bd99-dd7e365e0ee0
28155,2ced6a33-274e-4553-996b-8279da75d02f,2ced6a33-274e-4553-996b-8279da75d02f,[SPRING 2012] Topics in Applied Behaviour Analysis: Diverse Applications of ABA,ADST 5V71,Graduate,36,On-Campus,964da9e5-b8aa-4c0b-ab66-95ccea2a0c74,Brock University,Brock University,E798D86B-6200-E411-BEB5-00505683000D,Applied Disability Studies,{Number:5V70}{Number:5V72}{Title:Topics in Applied Behaviour Analysis},964da9e5-b8aa-4c0b-ab66-95ccea2a0c742ced6a33-274e-4553-996b-8279da75d02f
26021,33a4ba16-83e0-e911-8122-000c29a8e632,33a4ba16-83e0-e911-8122-000c29a8e632,(Fall 2019) Supervising Human Service Staff in ABA,691,Graduate,3,Online,34a4ba16-83e0-e911-8122-000c29a8e632,Ball State University,Ball State University,E7D84F21-F2B1-E411-B490-0050569C00A7,Special Education,{Number:660},34a4ba16-83e0-e911-8122-000c29a8e63233a4ba16-83e0-e911-8122-000c29a8e632
24970,fc4fbaa5-2947-e911-8106-000c29a8e632,fc4fbaa5-2947-e911-8106-000c29a8e632,(FALL 2014) Verbal Behavior / Seminar in Special Ed.,689/660,Graduate,3,Online,0250baa5-2947-e911-8106-000c29a8e632,Ball State University,Ball State University,E7D84F21-F2B1-E411-B490-0050569C00A7,Special Education,{Number:689}{Number:660}{Title:(FALL 2014) Verbal Behavior / Seminar in Special Ed.},0250baa5-2947-e911-8106-000c29a8e632fc4fbaa5-2947-e911-8106-000c29a8e632
24923,b2253a9f-2947-e911-8106-000c29a8e632,b2253a9f-2947-e911-8106-000c29a8e632,(Spring 2014) Supervising Human Service Staff in ABA,691/660,Graduate,3,Online,0050baa5-2947-e911-8106-000c29a8e632,Ball State University,Ball State University,E7D84F21-F2B1-E411-B490-0050569C00A7,Special Education,{Number:691}{Number:660},0050baa5-2947-e911-8106-000c29a8e632b2253a9f-2947-e911-8106-000c29a8e632
25019,3faeb539-d93c-4f22-bc65-cc2525d4424f,3faeb539-d93c-4f22-bc65-cc2525d4424f,(Fall 2016) Advanced Behavior Management,7230/7236,Graduate,3,Both,040c6a9b-7157-48e9-89a3-4f43bc1f83ca,Auburn University,Auburn University,D99548F8-CC92-E511-A86B-0050569C00A7,Special Education,{Number:7230}{Number:7236}{Title:Adv Behavior Management },040c6a9b-7157-48e9-89a3-4f43bc1f83ca3faeb539-d93c-4f22-bc65-cc2525d4424f
27900,54d7ceb9-9499-4526-8e71-9f8c018c8699,54d7ceb9-9499-4526-8e71-9f8c018c8699,(Fall 2016) Curriculum and Theory in Autism and Developmental Disabilities,7406,Graduate,3,Both,8c252615-e7d7-47c1-ad58-743621d97b1a,Auburn University,Auburn University,D99548F8-CC92-E511-A86B-0050569C00A7,Special Education,{Number:7400}{Title:Curriculum and Theory},8c252615-e7d7-47c1-ad58-743621d97b1a54d7ceb9-9499-4526-8e71-9f8c018c8699
29855,0a43a369-ed95-457a-894b-985e3b4eaf48,0a43a369-ed95-457a-894b-985e3b4eaf48,(Fall 2016) Curriculum and Theory in Autism and Developmental Disabilities,7400,Graduate,3,Both,e815be47-f71d-41f7-a79d-c2376bb9cd77,Auburn University,Auburn University,D99548F8-CC92-E511-A86B-0050569C00A7,Special Education,{Number:7406}{Title:Curriculum and Theory},e815be47-f71d-41f7-a79d-c2376bb9cd770a43a369-ed95-457a-894b-985e3b4eaf48
26291,ddf1c276-81ca-44aa-9cb3-1663df6b3acd,ddf1c276-81ca-44aa-9cb3-1663df6b3acd,(Fall 2016) Program Implementation in Autism and Developmental Disabilities,7410/7416,Graduate,3,Both,427d59d5-4a18-4463-857b-3419a002d550,Auburn University,Auburn University,D99548F8-CC92-E511-A86B-0050569C00A7,Special Education,{Number:7410}{Number:7416}{Title:Program Implementation },427d59d5-4a18-4463-857b-3419a002d550ddf1c276-81ca-44aa-9cb3-1663df6b3acd
27127,2fab2237-898d-467f-9ac7-9e62293b4a6b,2fab2237-898d-467f-9ac7-9e62293b4a6b,(Fall 2016) Research in Specialization: Ethical Practices for Serving Students with Autism and Behavior Disorders,7430/7436,Graduate,3,Both,69a581ce-030e-4b7c-b569-ed6408964dfc,Auburn University,Auburn University,D99548F8-CC92-E511-A86B-0050569C00A7,Special Education,{Number:7430}{Number:7436}{Title:Research into Practice },69a581ce-030e-4b7c-b569-ed6408964dfc2fab2237-898d-467f-9ac7-9e62293b4a6b
28258,95330b52-1f4f-e911-8106-000c29a8e632,95330b52-1f4f-e911-8106-000c29a8e632,Techniques in Applied Behavior Analysis,SPED 661,Graduate,3,Online,9b330b52-1f4f-e911-8106-000c29a8e632,Slippery Rock University of Pennsylvania,Slippery Rock University,E2D9020E-045B-E911-8106-000C29A8E632,Special Education,{Number:841}{Number:641},9b330b52-1f4f-e911-8106-000c29a8e63295330b52-1f4f-e911-8106-000c29a8e632
26667,4204e21d-bc00-ea11-812d-000c29a8e632,4204e21d-bc00-ea11-812d-000c29a8e632,Behaviour Assessment and Treatment,9461B,Graduate,36,Online,5304e21d-bc00-ea11-812d-000c29a8e632,Western University,Western University,D19F51CA-A05B-E911-8106-000C29A8E632,Education,{Number:9461L},5304e21d-bc00-ea11-812d-000c29a8e6324204e21d-bc00-ea11-812d-000c29a8e632
26686,4304e21d-bc00-ea11-812d-000c29a8e632,4304e21d-bc00-ea11-812d-000c29a8e632,Ethics in Applied Behaviour Analysis,9463L,Graduate,45,Online,5404e21d-bc00-ea11-812d-000c29a8e632,Western University,Western University,D19F51CA-A05B-E911-8106-000C29A8E632,Education,{Number:9463A}{Title:SPEC TOPICS: ED PSYCH/SPEC ED Course Topic: ADVANCED TOPICS BEHAVIOUR},5404e21d-bc00-ea11-812d-000c29a8e6324304e21d-bc00-ea11-812d-000c29a8e632
26608,3f04e21d-bc00-ea11-812d-000c29a8e632,3f04e21d-bc00-ea11-812d-000c29a8e632,SPEC TOPICS: ED PSYCH/SPEC ED Course Topic BEHAVIOUR ANALYSIS RESEARCH,9660A,Graduate,36,Online,5004e21d-bc00-ea11-812d-000c29a8e632,Western University,Western University,D19F51CA-A05B-E911-8106-000C29A8E632,Education,{Number:9464A}{Title:Behaviour Analysis Research Design: Single Subject Designs}{Number:9660A-652},5004e21d-bc00-ea11-812d-000c29a8e6323f04e21d-bc00-ea11-812d-000c29a8e632
26471,3904e21d-bc00-ea11-812d-000c29a8e632,3904e21d-bc00-ea11-812d-000c29a8e632,Behaviour Analysis Research Design: Single Subject Designs,9464A,Graduate,45,Online,4a04e21d-bc00-ea11-812d-000c29a8e632,Western University,Western University,D19F51CA-A05B-E911-8106-000C29A8E632,Education,{Number:9464B},4a04e21d-bc00-ea11-812d-000c29a8e6323904e21d-bc00-ea11-812d-000c29a8e632
28306,11066100-5bf2-4fd6-aad2-8218127b3a74,11066100-5bf2-4fd6-aad2-8218127b3a74,Concepts and Principles in Behavior Analysis I,AB 540DC,Graduate,3,Hybrid,9d49a62e-1aa2-4f9f-a961-0a7c29aa9f21,Chicago School of Professional Psychology,"Chicago School of Professional Psychology, The",0C50719A-2A14-E411-B0E2-0050569C00A7,Dept of Applied Behavior Analysis-DC Campus,{Number:AB 540DC}{Title:Concepts and Principles in Behavior Analysis I},9d49a62e-1aa2-4f9f-a961-0a7c29aa9f2111066100-5bf2-4fd6-aad2-8218127b3a74
29052,a8f7d392-fe7b-4475-934a-f55d374cc3c1,a8f7d392-fe7b-4475-934a-f55d374cc3c1,Concepts and Principles in Behavior Analysis II,AB 541DC,Graduate,3,Hybrid,c3272836-bfb2-47c1-aa94-8aa34b3f4f9f,Chicago School of Professional Psychology,"Chicago School of Professional Psychology, The",0C50719A-2A14-E411-B0E2-0050569C00A7,Dept of Applied Behavior Analysis-DC Campus,{Number:AB 541DC}{Title:Concepts and Principles in Behavior Analysis II},c3272836-bfb2-47c1-aa94-8aa34b3f4f9fa8f7d392-fe7b-4475-934a-f55d374cc3c1
29131,e8b90339-8198-4c9d-b8d1-04cb6c0116db,e8b90339-8198-4c9d-b8d1-04cb6c0116db,Measurement and Design in Behavior Analysis,AB 545DC,Graduate,3,Hybrid,c72b12ff-6e88-451b-8d6e-eba91f3477e8,Chicago School of Professional Psychology,"Chicago School of Professional Psychology, The",0C50719A-2A14-E411-B0E2-0050569C00A7,Dept of Applied Behavior Analysis-DC Campus,{Number:AB 545DC}{Title:Measurement and Design in Behavior Analysis},c72b12ff-6e88-451b-8d6e-eba91f3477e8e8b90339-8198-4c9d-b8d1-04cb6c0116db
26535,41f1e1b0-5498-48e8-a2f2-3bb3e9aa0199,41f1e1b0-5498-48e8-a2f2-3bb3e9aa0199,Behavior Change Procedures I,AB 556DC,Graduate,3,Hybrid,4c9b4628-41ba-4243-9950-e8bdf75e82c2,Chicago School of Professional Psychology,"Chicago School of Professional Psychology, The",0C50719A-2A14-E411-B0E2-0050569C00A7,Dept of Applied Behavior Analysis-DC Campus,{Number:AB 556DC}{Title:Behavior Change Procedures I},4c9b4628-41ba-4243-9950-e8bdf75e82c241f1e1b0-5498-48e8-a2f2-3bb3e9aa0199
28018,6d6fa90d-90e9-4fa9-8a28-a882823e9661,6d6fa90d-90e9-4fa9-8a28-a882823e9661,Behavior Change Procedures II,AB 557DC,Graduate,3,Hybrid,911a52a2-6104-466e-8394-0bc7f7250a11,Chicago School of Professional Psychology,"Chicago School of Professional Psychology, The",0C50719A-2A14-E411-B0E2-0050569C00A7,Dept of Applied Behavior Analysis-DC Campus,{Number:AB 557DC}{Title:Behavior Change Procedures II},911a52a2-6104-466e-8394-0bc7f7250a116d6fa90d-90e9-4fa9-8a28-a882823e9661
25371,b869b938-0b7d-4604-8517-be882ab6a034,b869b938-0b7d-4604-8517-be882ab6a034,Behavior Assessment,AB 564DC,Graduate,3,Hybrid,12fa3221-230a-4cdb-a066-af7b02e34b3b,Chicago School of Professional Psychology,"Chicago School of Professional Psychology, The",0C50719A-2A14-E411-B0E2-0050569C00A7,Dept of Applied Behavior Analysis-DC Campus,{Number:AB 564DC}{Title:Behavior Assessment },12fa3221-230a-4cdb-a066-af7b02e34b3bb869b938-0b7d-4604-8517-be882ab6a034
28304,0adf12e8-c4e1-4495-9126-543497e6ad1e,0adf12e8-c4e1-4495-9126-543497e6ad1e,Professional Ethics & Issues in Behavior Analysis,AB 565DC,Graduate,3,Hybrid,9d37f9c5-8fb6-45f6-82f9-fe4dcd1a3b38,Chicago School of Professional Psychology,"Chicago School of Professional Psychology, The",0C50719A-2A14-E411-B0E2-0050569C00A7,Dept of Applied Behavior Analysis-DC Campus,{Number:AB 565DC}{Title:Professional Ethics & Issues in Behavior Analysis},9d37f9c5-8fb6-45f6-82f9-fe4dcd1a3b380adf12e8-c4e1-4495-9126-543497e6ad1e
29709,1f9fa3e3-0205-41ea-ba27-8f996391df11,1f9fa3e3-0205-41ea-ba27-8f996391df11,Single Subject Research Designs & Statistics,ABA 312,Undergraduate,3,Both,e1551384-95ee-41ae-884c-271f515d9c62,Capilano University,Capilano University - Applied Behaviour Analysis - Autism Dept.,9C21921F-8AB4-E511-990B-0050569C00C5,Applied Behavior Analysis - Autism,{Number:ABA 312},e1551384-95ee-41ae-884c-271f515d9c621f9fa3e3-0205-41ea-ba27-8f996391df11
25356,c5925296-8bb7-48b4-bf17-314e97157db6,c5925296-8bb7-48b4-bf17-314e97157db6,Applied Behavior Analysis 1: Principles of Behavior,ABA 341,Undergraduate,3,Both,12581ad3-4754-4729-83da-bc1af6e76726,Capilano University,Capilano University - Applied Behaviour Analysis - Autism Dept.,9C21921F-8AB4-E511-990B-0050569C00C5,Applied Behavior Analysis - Autism,{Number:ABA 341},12581ad3-4754-4729-83da-bc1af6e76726c5925296-8bb7-48b4-bf17-314e97157db6
28307,ef26b5c5-aae3-4e69-b227-2a7a6b1b3de1,ef26b5c5-aae3-4e69-b227-2a7a6b1b3de1,Applied Behavior Analysis 2: Procedures for Behavior Change,ABA 342,Undergraduate,3,Both,9d6527fe-b6e6-450a-8ae8-536ffef6147c,Capilano University,Capilano University - Applied Behaviour Analysis - Autism Dept.,9C21921F-8AB4-E511-990B-0050569C00C5,Applied Behavior Analysis - Autism,{Number:ABA 342},9d6527fe-b6e6-450a-8ae8-536ffef6147cef26b5c5-aae3-4e69-b227-2a7a6b1b3de1
27246,3d6caebb-5b2e-44d5-8d50-c588746b7666,3d6caebb-5b2e-44d5-8d50-c588746b7666,ABA 343 Ethics & Professional Standards,ABA 343,Undergraduate,3,Both,6f1392ae-7197-44d8-b7ef-df580d61fa62,Capilano University,Capilano University - Applied Behaviour Analysis - Autism Dept.,9C21921F-8AB4-E511-990B-0050569C00C5,Applied Behavior Analysis - Autism,{Number:ABA 343},6f1392ae-7197-44d8-b7ef-df580d61fa623d6caebb-5b2e-44d5-8d50-c588746b7666
28847,a1911d1f-1e86-4074-8e1f-756527466fce,a1911d1f-1e86-4074-8e1f-756527466fce,Behavioral Assessment and Positive Behavior Support,ABA 345,Undergraduate,3,Both,b9e09d09-cfb7-4c0a-8418-a758beac05dd,Capilano University,Capilano University - Applied Behaviour Analysis - Autism Dept.,9C21921F-8AB4-E511-990B-0050569C00C5,Applied Behavior Analysis - Autism,{Number:ABA 345},b9e09d09-cfb7-4c0a-8418-a758beac05dda1911d1f-1e86-4074-8e1f-756527466fce
27400,f8b12395-c099-4072-8e6a-5aac37231b5a,f8b12395-c099-4072-8e6a-5aac37231b5a,Advanced Topics in ABA,ABA 443,Undergraduate,3,Both,75716f6d-7be2-4d56-97d4-95c3c0a30495,Capilano University,Capilano University - Applied Behaviour Analysis - Autism Dept.,9C21921F-8AB4-E511-990B-0050569C00C5,Applied Behavior Analysis - Autism,{Number:ABA 443},75716f6d-7be2-4d56-97d4-95c3c0a30495f8b12395-c099-4072-8e6a-5aac37231b5a
28946,aebf4455-cf50-e911-8106-000c29a8e632,aebf4455-cf50-e911-8106-000c29a8e632,The Science of ABA:  Concepts and Principles,ABA 501/ SPE 511,Graduate,3,Both,bebf4455-cf50-e911-8106-000c29a8e632,Bay Path University,Bay Path University,4E99D86B-6200-E411-BEB5-00505683000D,Education and Psychology,{Number:ABA 501}{Number:SPE 511},bebf4455-cf50-e911-8106-000c29a8e632aebf4455-cf50-e911-8106-000c29a8e632
26401,bb08371e-8446-4633-8dc9-f6214e8c4358,bb08371e-8446-4633-8dc9-f6214e8c4358,Ethics and Professional Conduct,ABA 501,Graduate,3,On-Campus,47350cb3-37f0-4eb5-a265-5a4ce8e0d241,Georgian Court University,Georgian Court University,3958E065-6200-E411-BEB5-00505683000D,Psychology,{Number:ABA 501}{Title:Ethics & Professional Conduct},47350cb3-37f0-4eb5-a265-5a4ce8e0d241bb08371e-8446-4633-8dc9-f6214e8c4358
25539,3e30a689-8148-4769-aed3-3ed126735826,3e30a689-8148-4769-aed3-3ed126735826,Measurement and Design in ABA,ABA 502,Graduate,3,On-Campus,1c931a7f-c459-4427-9915-8211d944a122,Georgian Court University,Georgian Court University,3958E065-6200-E411-BEB5-00505683000D,Psychology,{Number:ABA 502}{Title:Measurement & Design in ABA},1c931a7f-c459-4427-9915-8211d944a1223e30a689-8148-4769-aed3-3ed126735826
28053,3ee49cd2-93bc-412a-822a-56fa54344fe7,3ee49cd2-93bc-412a-822a-56fa54344fe7,Concepts and Principles of ABA,ABA 503,Graduate,3,On-Campus,927be352-caef-4266-a20f-be3f53541f27,Georgian Court University,Georgian Court University,3958E065-6200-E411-BEB5-00505683000D,Psychology,{Number:ABA 503}{Title:Concepts and Principles},927be352-caef-4266-a20f-be3f53541f273ee49cd2-93bc-412a-822a-56fa54344fe7
