"custrecord_rc_hr_alloc_content_hours","custrecord_rc_hr_alloc_type","custrecord_rc_hr_alloc_value","custrecord_rc_cntntarea_hrs_alloc_crm_id","content_hours_pk",
"a3d3b143-5ac4-e911-811a-000c29a8e632","Identification of the Problem & Assessment","1.50","a3d3b143-5ac4-e911-811a-000c29a8e632","98d3b143-5ac4-e911-811a-000c29a8e632 Fourth Edition 4/1/2019 4:00:00 AM",
"bf22df25-bad0-e911-811e-000c29a8e632","Behavior Change Systems","8.00","bf22df25-bad0-e911-811e-000c29a8e632","b322df25-bad0-e911-811e-000c29a8e632 Fourth Edition 8/26/2019 4:00:00 AM",
"49f7bf05-684a-e911-8106-000c29a8e632","Identification of the Problem & Assessment","20.00","49f7bf05-684a-e911-8106-000c29a8e632","26f7bf05-684a-e911-8106-000c29a8e632 Fourth Edition",
"d2cd44a4-0050-e911-8106-000c29a8e632","Behavior Change Systems","5.00","d2cd44a4-0050-e911-8106-000c29a8e632","bd2ee02a-b849-e911-8106-000c29a8e632 Fourth Edition 3/22/2019 4:00:00 AM",
"fd18c830-3853-e911-8106-000c29a8e632","Implementation, Management, and Supervision","0.00","fd18c830-3853-e911-8106-000c29a8e632","47b440f1-9049-e911-8106-000c29a8e632 Fourth Edition 8/16/2018 4:00:00 AM",
"94ad964d-f365-e911-8106-000c29a8e632","Experimental Design","35.00","94ad964d-f365-e911-8106-000c29a8e632","8cad964d-f365-e911-8106-000c29a8e632 Fourth Edition 6/7/2017 4:00:00 AM",
"1017b553-f365-e911-8106-000c29a8e632","Behavior Change Systems","5.00","1017b553-f365-e911-8106-000c29a8e632","8fad964d-f365-e911-8106-000c29a8e632 Fourth Edition 6/7/2017 4:00:00 AM",
"238bb15f-f365-e911-8106-000c29a8e632","Concepts & Principles","19.00","238bb15f-f365-e911-8106-000c29a8e632","e4add821-e865-e911-8106-000c29a8e632 Fifth Edition 5/21/2019 4:00:00 AM",
"1b7138f0-4b32-e911-8106-000c29a8e632","Philosophical Underpinnings","3.00","1b7138f0-4b32-e911-8106-000c29a8e632","58e66da4-4b32-e911-8106-000c29a8e632 Fifth Edition 1/6/2020 5:00:00 AM",
"9717b993-284f-e911-8106-000c29a8e632","Discretionary","15.00","9717b993-284f-e911-8106-000c29a8e632","6e17b993-284f-e911-8106-000c29a8e632 Fourth Edition",
"0e2f5432-0054-e911-8106-000c29a8e632","Implementation, Management, and Supervision","5.00","0e2f5432-0054-e911-8106-000c29a8e632","052f5432-0054-e911-8106-000c29a8e632 Fourth Edition 1/21/2019 10:00:00 AM",
"ef91e899-3c40-e911-8106-000c29a8e632","Measurement (including data analysis)","15.00","ef91e899-3c40-e911-8106-000c29a8e632","d591e899-3c40-e911-8106-000c29a8e632 Fourth Edition",
"35fc1f47-4b4f-e911-8106-000c29a8e632","Behavior Change Systems","11.50","35fc1f47-4b4f-e911-8106-000c29a8e632","39669483-9646-e911-8106-000c29a8e632 Fourth Edition 9/1/2017 4:00:00 AM",
"40f7bf05-684a-e911-8106-000c29a8e632","Intervention & Behavior Change Considerations","2.00","40f7bf05-684a-e911-8106-000c29a8e632","21f7bf05-684a-e911-8106-000c29a8e632 Fourth Edition",
"0febe83e-dadc-40b7-a6d0-cdf50f076c79","Implementation, Management, and Supervision","10.00","0febe83e-dadc-40b7-a6d0-cdf50f076c79","cbb5d7ee-fab4-416f-9802-6c774bd17b67 Fourth Edition",
"2bbe0f6c-5ebc-4aae-9b45-d3198de385a3","Discretionary","15.00","2bbe0f6c-5ebc-4aae-9b45-d3198de385a3","0eeeb28b-cdeb-4228-976f-91c26d89bd8f Fourth Edition 2/15/2016 12:00:00 AM",
"fbf2d87f-82e8-4614-9e25-dba09e062022","Identification of the Problem & Assessment","30.00","fbf2d87f-82e8-4614-9e25-dba09e062022","27520d27-5108-4b01-8093-66d44eccef50 Fourth Edition",
"767de565-b2a1-4bbf-843f-e1b01fa261ed","Measurement (including data analysis)","8.00","767de565-b2a1-4bbf-843f-e1b01fa261ed","0eb8911f-ed4f-4488-b6d4-b6151cd12386 Fourth Edition 2/3/2014 12:00:00 AM",
"98585dac-1b39-426e-8502-f2e0dae8d2f0","Experimental Design","15.00","98585dac-1b39-426e-8502-f2e0dae8d2f0","9694ff77-c4a6-4264-a9e0-1cbf908b1f05 Fourth Edition",
"551c330a-79d9-42a6-9de8-f8bda0288e17","Concepts & Principles of Behavior Analysis","45.00","551c330a-79d9-42a6-9de8-f8bda0288e17","4fb13398-a428-4116-8424-f48f98632ae0 Fourth Edition",
"dad10adf-df0e-4d1c-b3ea-a2c2c161585c","Concepts & Principles of Behavior Analysis","2.00","dad10adf-df0e-4d1c-b3ea-a2c2c161585c","fb5cc53d-ed6c-4267-8638-864e6d561c89 Fourth Edition",
"71f8350a-05e2-4619-904c-b03709d06945","Discretionary","9.00","71f8350a-05e2-4619-904c-b03709d06945","1420e1e9-8976-4589-84f3-4ec55248a0ae Fourth Edition",
"5ef36d8b-161a-4646-9068-c6b529813edc","Implementation, Management, and Supervision","10.00","5ef36d8b-161a-4646-9068-c6b529813edc","5d354534-e5f0-4a94-a0c9-837475a0cf4a Fourth Edition",
"5a0e32f9-eb3f-4e42-947b-c889b2d11955","Ethical & Professional Conduct","45.00","5a0e32f9-eb3f-4e42-947b-c889b2d11955","2d1f0971-8b87-4b48-bbc9-32723dc1f43e Fourth Edition",
"0fc11b1d-c114-458f-9e10-ccd0b7c3304f","Concepts & Principles of Behavior Analysis","45.00","0fc11b1d-c114-458f-9e10-ccd0b7c3304f","7aad2dc0-0ed5-44c9-99e6-2f6491581222 Fourth Edition",
"428dc577-49f8-412b-aca2-cce4d4eb3236","Concepts & Principles of Behavior Analysis","9.00","428dc577-49f8-412b-aca2-cce4d4eb3236","ff4caba2-a097-4b84-98f2-a6d5b66fdf81 Fourth Edition",
"fad856d9-5883-47f6-8ade-89442dc18f84","Ethical & Professional Conduct","20.00","fad856d9-5883-47f6-8ade-89442dc18f84","e195cb5a-7cfe-43ad-89f1-51c79d2384e2 Fourth Edition",
"a418443a-0a0b-483b-9f36-8afac3fbee35","Experimental Design","25.00","a418443a-0a0b-483b-9f36-8afac3fbee35","3b3e3cac-db46-423d-97e0-2cd212b97c47 Fourth Edition",
"8033db7e-112e-49c4-b1cc-8b73d7c0553c","Ethical & Professional Conduct","45.00","8033db7e-112e-49c4-b1cc-8b73d7c0553c","6983a683-2d2d-44f6-9b4e-8e9351d3c6e3 Fourth Edition",
"999b500b-ab81-4865-a00c-8f35042dd994","Measurement (including data analysis)","15.00","999b500b-ab81-4865-a00c-8f35042dd994","90662a75-4d2d-4315-8105-5ced35db75c7 Fourth Edition",
"b5407929-28e7-4d87-a1bb-9e2f17fcb27a","Identification of the Problem & Assessment","30.00","b5407929-28e7-4d87-a1bb-9e2f17fcb27a","3a8d8ef0-a9ff-4baa-90bf-9a48bc3239c9 Fourth Edition",
"11930c6a-c2c7-4dd6-bee9-9e41fc80fadd","Intervention & Behavior Change Considerations","5.00","11930c6a-c2c7-4dd6-bee9-9e41fc80fadd","9e08c495-dbb0-4587-9f99-bc0d0a95e0fd Fourth Edition",
"693f65ba-bb42-4d9b-9ee5-691c58371b7e","Behavior Change Systems","5.00","693f65ba-bb42-4d9b-9ee5-691c58371b7e","3902386d-1efe-4404-b1ef-a2e1eae08182 Fourth Edition 11/13/2014 12:00:00 AM",
"e608a6a1-dbd8-4fae-9c7d-7001b9baaabb","Identification of the Problem & Assessment","15.00","e608a6a1-dbd8-4fae-9c7d-7001b9baaabb","02d7beba-9e8f-4751-9c96-a27555133cce Fourth Edition",
"98c7fb03-6dc1-430d-9858-7585c6562d6e","Intervention & Behavior Change Considerations","3.00","98c7fb03-6dc1-430d-9858-7585c6562d6e","6cfbb3c7-5a86-4be9-af59-fb9a9d5ad689 Fourth Edition",
"9ccf803a-bf05-4fd0-aa1e-77076d97658c","Measurement (including data analysis)","4.00","9ccf803a-bf05-4fd0-aa1e-77076d97658c","a5965911-ba45-4d76-927d-361c7912b0ac Fourth Edition",
"cd5b8350-ddf8-43b0-ac21-7bb9c200e275","Measurement (including data analysis)","25.00","cd5b8350-ddf8-43b0-ac21-7bb9c200e275","89798430-389e-4a5f-a6cc-cad6ea77fd15 Fourth Edition",
"45c31be0-aa95-47ee-ab86-854cb2e1bd91","Behavior Change Systems","5.00","45c31be0-aa95-47ee-ab86-854cb2e1bd91","d2a62575-5c43-4394-8f36-f1eed23a38fe Fourth Edition",
"ae2b722e-3515-4b19-86bd-3c037a864728","Concepts & Principles of Behavior Analysis","45.00","ae2b722e-3515-4b19-86bd-3c037a864728","feb45828-020b-4a95-b2f5-537b33e4ebb6 Fourth Edition",
"27bb6f59-504c-44a3-987e-3f4a1c556cfa","Identification of the Problem & Assessment","30.00","27bb6f59-504c-44a3-987e-3f4a1c556cfa","b6991cb8-b6ae-4a07-9132-fb32ea1b80a6 Fourth Edition",
"cf828398-8c56-4081-a472-48d62b94dba6","Intervention & Behavior Change Considerations","3.00","cf828398-8c56-4081-a472-48d62b94dba6","42562a07-1398-42c2-89b3-e0cb1e32d51e Fourth Edition",
"e239931a-3bf5-45a4-8341-54483fed9426","Identification of the Problem & Assessment","30.00","e239931a-3bf5-45a4-8341-54483fed9426","feb4289d-cdd8-4101-b1bf-b22f88bed43f Fourth Edition",
"6d913c54-b3ad-4d8f-ab86-5c149e250f7a","Measurements, Data Display and Interpretation; Experimental Design","6.00","6d913c54-b3ad-4d8f-ab86-5c149e250f7a","822dbf63-e46f-410d-8984-791da9d40a06 Fifth Edition",
"ffbabae5-6257-44e0-9908-603f55a0cc19","Fundamental Elements of Behavior Change & Specific Behavior Change Procedures","20.00","ffbabae5-6257-44e0-9908-603f55a0cc19","427d59d5-4a18-4463-857b-3419a002d550 Fourth Edition",
"6b966055-a3ae-42f3-aea2-28a66a291692","Experimental Design","2.00","6b966055-a3ae-42f3-aea2-28a66a291692","60579e60-9cab-42c3-9f5a-70c6888f35ae Fourth Edition",
"51840c7c-8589-4a23-9e15-29adbb364431","Philosophical Underpinnings","15.00","51840c7c-8589-4a23-9e15-29adbb364431","ca888c16-a477-4a2e-b344-e9de48083d45 Fifth Edition",
"f4a856db-a05f-4df5-a7a2-2a9879f86924","Philosophical Underpinnings","45.00","f4a856db-a05f-4df5-a7a2-2a9879f86924","71788218-c109-4dc2-9edf-2ca8a777b764 Fifth Edition",
"60d9522f-0168-4a07-b977-3304d64498d3","Discretionary","5.00","60d9522f-0168-4a07-b977-3304d64498d3","a935fea5-4a0f-4836-a70e-a3f2f393faa0 Fourth Edition",
"010d78bd-d7da-4c65-994e-39f4549ce22e","Concepts & Principles of Behavior Analysis","15.00","010d78bd-d7da-4c65-994e-39f4549ce22e","6f23aee6-9cd5-43dc-b4d9-d845583c9f7c Fourth Edition",
"bee48da9-af54-4c06-a2a9-3bdd798454b6","Measurements, Data Display and Interpretation; Experimental Design","45.00","bee48da9-af54-4c06-a2a9-3bdd798454b6","22488cbc-e96c-498b-8c24-f4e4874da080 Fifth Edition",
"ad10a478-ff87-e911-810c-000c29a8e632","Intervention & Behavior Change Considerations","5.00","ad10a478-ff87-e911-810c-000c29a8e632","8710a478-ff87-e911-810c-000c29a8e632 Fourth Edition 8/1/2017 4:00:00 AM",
"9c2586e3-a915-e911-8106-000c29a8e632","Behavior Change Systems","10.00","9c2586e3-a915-e911-8106-000c29a8e632","71a6bf3f-a915-e911-8106-000c29a8e632 Fourth Edition",
"22690f82-b615-e911-8106-000c29a8e632","Behavior-Change Procedures; Selecting and Implementing Interventions","15.00","22690f82-b615-e911-8106-000c29a8e632","68bae466-b615-e911-8106-000c29a8e632 Fifth Edition 1/6/2021 5:00:00 AM",
"10c81f97-8528-45dc-b67f-050de4f44a0c","Experimental Design","30.00","10c81f97-8528-45dc-b67f-050de4f44a0c","3489d343-6a07-4b11-9f51-9bd6728d2e8b Fourth Edition",
"30eb7821-6bc1-4f01-a2cf-184a040b760d","Identification of the Problem & Assessment","12.00","30eb7821-6bc1-4f01-a2cf-184a040b760d","e108e11a-1cd5-4ef5-83de-a32112e0ff88 Fourth Edition",
"ea4b1235-2f36-4175-a92b-19b4599d3338","Behavior Change Systems","5.00","ea4b1235-2f36-4175-a92b-19b4599d3338","f2bdec0c-edc2-4db2-81b5-9c92c3e16859 Fourth Edition",
"29e1abdb-5098-e911-810e-000c29a8e632","Ethical & Professional Conduct","3.00","29e1abdb-5098-e911-810e-000c29a8e632","1ae1abdb-5098-e911-810e-000c29a8e632 Fourth Edition 1/16/2019 5:00:00 AM",
"91fb2d52-52cc-e911-811d-000c29a8e632","BACB Compliance Code and Disciplinary Systems; Professionalism","15.00","91fb2d52-52cc-e911-811d-000c29a8e632","77fb2d52-52cc-e911-811d-000c29a8e632 Fifth Edition 8/1/2019 4:00:00 AM",
"5bf072d4-bec5-e911-811a-000c29a8e632","Ethical & Professional Conduct","45.00","5bf072d4-bec5-e911-811a-000c29a8e632","3cf072d4-bec5-e911-811a-000c29a8e632 Fourth Edition 8/26/2019 4:00:00 AM",
"a97f42d7-92d9-e911-8121-000c29a8e632","Behavior Change Systems","10.00","a97f42d7-92d9-e911-8121-000c29a8e632","997f42d7-92d9-e911-8121-000c29a8e632 Fourth Edition 7/1/2020 4:00:00 AM",
"1cc9b7dd-9ce3-e911-8123-000c29a8e632","Measurement (including data analysis)","10.00","1cc9b7dd-9ce3-e911-8123-000c29a8e632","0ec9b7dd-9ce3-e911-8123-000c29a8e632 Fourth Edition",
"54b440f1-9049-e911-8106-000c29a8e632","Measurement (including data analysis)","3.00","54b440f1-9049-e911-8106-000c29a8e632","49b440f1-9049-e911-8106-000c29a8e632 Fourth Edition 1/6/2019 5:00:00 AM",
"2af7bf05-684a-e911-8106-000c29a8e632","Behavior Change Systems","10.00","2af7bf05-684a-e911-8106-000c29a8e632","24f7bf05-684a-e911-8106-000c29a8e632 Fourth Edition",
"3cb38988-db59-e911-8106-000c29a8e632","Philosophical Underpinnings","5.00","3cb38988-db59-e911-8106-000c29a8e632","4bb7fae3-2924-e911-8106-000c29a8e632 Fifth Edition 3/1/2019 5:00:00 AM",
"442b6960-977d-e911-8108-000c29a8e632","Concepts & Principles of Behavior Analysis","35.00","442b6960-977d-e911-8108-000c29a8e632","342b6960-977d-e911-8108-000c29a8e632 Fourth Edition 4/1/2018 4:00:00 AM",
"ee150943-8060-e911-8106-000c29a8e632","Behavior Assessment","45.00","ee150943-8060-e911-8106-000c29a8e632","a0f4333d-7f60-e911-8106-000c29a8e632 Fifth Edition 8/26/2019 4:00:00 AM",
"badd7850-64b8-e911-8117-000c29a8e632","Concepts & Principles","3.00","badd7850-64b8-e911-8117-000c29a8e632","14cd15c8-5eb8-e911-8117-000c29a8e632 Fifth Edition 1/6/2020 5:00:00 AM",
"2f4f57af-fb11-4ef6-a10c-f2e21bd0473c","Ethical & Professional Conduct","3.00","2f4f57af-fb11-4ef6-a10c-f2e21bd0473c","d57f1054-8d44-44d1-97e0-86632fc9627c Fourth Edition",
"3a795920-556b-4a44-917f-fef8749076ba","Ethical & Professional Conduct","30.00","3a795920-556b-4a44-917f-fef8749076ba","803ad346-2e9c-4ba2-b946-48360706e91f Fourth Edition",
"2c8c9035-f1d5-e911-811f-000c29a8e632","Discretionary","14.00","2c8c9035-f1d5-e911-811f-000c29a8e632","288c9035-f1d5-e911-811f-000c29a8e632 Fourth Edition",
"8c17b993-284f-e911-8106-000c29a8e632","Discretionary","5.00","8c17b993-284f-e911-8106-000c29a8e632","6b17b993-284f-e911-8106-000c29a8e632 Fourth Edition",
"d76bfc80-0354-e911-8106-000c29a8e632","Identification of the Problem & Assessment","30.00","d76bfc80-0354-e911-8106-000c29a8e632","bd6bfc80-0354-e911-8106-000c29a8e632 Fourth Edition 1/21/2019 10:00:00 AM",
"797324b9-7e54-e911-8106-000c29a8e632","Discretionary","15.00","797324b9-7e54-e911-8106-000c29a8e632","697324b9-7e54-e911-8106-000c29a8e632 Fourth Edition",
"efe3ef29-210d-4bb8-8f0f-c88ecc635656","Behavior Assessment","11.00","efe3ef29-210d-4bb8-8f0f-c88ecc635656","60965721-beab-4f96-a10e-bb4d14ae4110 Fifth Edition",
"bc256bc7-2e28-4249-92df-cd9ada49da9f","Personnel Supervision and Management","30.00","bc256bc7-2e28-4249-92df-cd9ada49da9f","89e8c3ea-a9c2-4c7f-bd97-3f9fc6a46c1f Fifth Edition",
"0ba82166-f0ee-4b0a-883e-ddb2f83ca1df","Concepts & Principles of Behavior Analysis","20.00","0ba82166-f0ee-4b0a-883e-ddb2f83ca1df","ed554246-8a63-45c6-bc00-96872f8770d0 Fourth Edition",
"6a42398f-6afb-4fb3-802b-e3cc43f0a496","Fundamental Elements of Behavior Change & Specific Behavior Change Procedures","45.00","6a42398f-6afb-4fb3-802b-e3cc43f0a496","7f6e80ce-2fe0-495b-ac9a-3a41119e4c11 Fourth Edition 3/13/2014 12:00:00 AM",
"5b1fea4c-5ada-4a14-9a82-e84fbc142f74","Fundamental Elements of Behavior Change & Specific Behavior Change Procedures","13.00","5b1fea4c-5ada-4a14-9a82-e84fbc142f74","87a7ece2-995c-4a4a-9e25-fd4868b84922 Fourth Edition",
"b172d015-36a5-460e-b429-eb8f7bc7bf23","Fundamental Elements of Behavior Change & Specific Behavior Change Procedures","3.00","b172d015-36a5-460e-b429-eb8f7bc7bf23","17b573dc-b954-4446-ae73-72fc6f04d363 Fourth Edition",
"715ddab6-dc41-4760-b260-91ade998957e","Implementation, Management, and Supervision","1.00","715ddab6-dc41-4760-b260-91ade998957e","63271c9b-d1cb-4960-8d66-43ce33296a31 Fourth Edition",
"ad259db5-1a7c-479b-8105-94ac6ae34ec7","Identification of the Problem & Assessment","30.00","ad259db5-1a7c-479b-8105-94ac6ae34ec7","71aeddab-2a6f-4ebb-8d28-0bc1526e4eb0 Fourth Edition",
"d6966ec8-9a27-4699-b3bb-98cf81dcb751","Concepts & Principles of Behavior Analysis","15.00","d6966ec8-9a27-4699-b3bb-98cf81dcb751","0eb8911f-ed4f-4488-b6d4-b6151cd12386 Fourth Edition 2/3/2014 12:00:00 AM",
"ad196500-4c43-440d-8682-a774cd5f9fa5","Concepts & Principles of Behavior Analysis","45.00","ad196500-4c43-440d-8682-a774cd5f9fa5","56589fe1-43eb-4a52-a771-e53f74496d72 Fourth Edition 4/6/2016 12:00:00 AM",
"20fc14d1-c4aa-4354-a421-ada4285fb36b","Measurement (including data analysis)","15.00","20fc14d1-c4aa-4354-a421-ada4285fb36b","408a6182-0d75-45cc-8be6-4584c9ac2dee Fourth Edition",
"8efb37e5-b60c-4974-8dbd-b1df96c79005","Measurement (including data analysis)","15.00","8efb37e5-b60c-4974-8dbd-b1df96c79005","b6991cb8-b6ae-4a07-9132-fb32ea1b80a6 Fourth Edition",
"12f5267b-67e1-4ab9-824c-328f4b5ab4f1","Behavior Change Systems","3.00","12f5267b-67e1-4ab9-824c-328f4b5ab4f1","36515e3a-f135-416e-90b8-c228fd87b8c7 Fourth Edition",
"94b3c0dd-081f-4754-bf5e-421d87a5a8fe","Fundamental Elements of Behavior Change & Specific Behavior Change Procedures","10.00","94b3c0dd-081f-4754-bf5e-421d87a5a8fe","b8392926-db57-4a4d-94d0-d7597cdc5931 Fourth Edition",
"35709c4c-73bb-4451-b033-4bf4a7044477","Fundamental Elements of Behavior Change & Specific Behavior Change Procedures","10.00","35709c4c-73bb-4451-b033-4bf4a7044477","072564b4-921a-43fe-ab3e-c0e6a2279758 Fourth Edition",
"179934a9-ce22-4585-bd43-56bc7c4a01ee","Identification of the Problem & Assessment","5.00","179934a9-ce22-4585-bd43-56bc7c4a01ee","63271c9b-d1cb-4960-8d66-43ce33296a31 Fourth Edition",
"99574cb4-4665-4b34-b454-70fd8f0be0e2","Discretionary","9.00","99574cb4-4665-4b34-b454-70fd8f0be0e2","ce5b2d61-afad-42b4-8571-32ec5700959f Fourth Edition",
"31a4ca2f-8569-4a1d-9bf5-7c47d3333935","Measurement (including data analysis)","6.00","31a4ca2f-8569-4a1d-9bf5-7c47d3333935","08b3094a-6247-4310-ba6e-b7343043a55f Fourth Edition",
"5d8fa7ae-6b13-e911-8106-000c29a8e632","Identification of the Problem & Assessment","10.00","5d8fa7ae-6b13-e911-8106-000c29a8e632","fde0f087-6313-e911-8106-000c29a8e632 Fourth Edition",
"774fcb6c-3999-4478-89db-00b250a458fb","Measurement (including data analysis)","10.00","774fcb6c-3999-4478-89db-00b250a458fb","b82f96fc-0ee4-4ee7-8216-49bf2c31d25e Fourth Edition",
"99186abb-2543-e911-8106-000c29a8e632","Ethical & Professional Conduct","15.00","99186abb-2543-e911-8106-000c29a8e632","93186abb-2543-e911-8106-000c29a8e632 Fourth Edition 6/21/2017 4:00:00 AM",
"1d1c2729-a153-4eed-8677-090b86965072","Intervention & Behavior Change Considerations","4.00","1d1c2729-a153-4eed-8677-090b86965072","1a436756-3550-473f-832d-baef8834b8af Fourth Edition",
"74554570-aa24-4e06-acc8-0ede8fe6e0a7","Intervention & Behavior Change Considerations","5.00","74554570-aa24-4e06-acc8-0ede8fe6e0a7","8941bf6d-6544-4e88-a9b4-b8733ce5bbd8 Fourth Edition",
"469719f8-ae65-4ac8-a832-1a65510fbdcb","Measurement (including data analysis)","5.00","469719f8-ae65-4ac8-a832-1a65510fbdcb","2258bffc-570d-474c-a917-b65f60fd563d Fourth Edition",
"1e2786d5-5de0-e911-8122-000c29a8e632","Concepts & Principles","12.00","1e2786d5-5de0-e911-8122-000c29a8e632","83384895-4ad9-e911-8121-000c29a8e632 Fifth Edition 8/19/2020 4:00:00 AM",
"0e696a05-5fe1-e911-8122-000c29a8e632","Identification of the Problem & Assessment","20.00","0e696a05-5fe1-e911-8122-000c29a8e632","488ff8fe-5ee1-e911-8122-000c29a8e632 Fourth Edition 9/30/2019 4:00:00 AM",
"d06f243c-c3e2-e911-8123-000c29a8e632","Behavior Change Systems","10.00","d06f243c-c3e2-e911-8123-000c29a8e632","c86f243c-c3e2-e911-8123-000c29a8e632 Fourth Edition 12/1/2015 5:00:00 AM",
"6b4356a2-30e5-e911-8123-000c29a8e632","Personnel Supervision and Management","30.00","6b4356a2-30e5-e911-8123-000c29a8e632","a93c87a0-2de5-e911-8123-000c29a8e632 Fifth Edition 6/8/2020 4:00:00 AM",
"36d7334c-7205-ea11-812e-000c29a8e632","Behavior-Change Procedures; Selecting and Implementing Interventions","45.00","36d7334c-7205-ea11-812e-000c29a8e632","1c40154a-6c05-ea11-812e-000c29a8e632 Fifth Edition 1/11/2021 5:00:00 AM",
"847e70d4-defc-e911-812c-000c29a8e632","Personnel Supervision and Management","30.00","847e70d4-defc-e911-812c-000c29a8e632","c8cd3ecd-dcfc-e911-812c-000c29a8e632 Fifth Edition 9/1/2020 4:00:00 AM",
"2cbf0902-a8b4-e911-8116-000c29a8e632","Personnel Supervision and Management","45.00","2cbf0902-a8b4-e911-8116-000c29a8e632","870560c4-a7b4-e911-8116-000c29a8e632 Fifth Edition 9/1/2020 4:00:00 AM",
"f5551908-55cd-e911-811e-000c29a8e632","Identification of the Problem & Assessment","10.00","f5551908-55cd-e911-811e-000c29a8e632","df551908-55cd-e911-811e-000c29a8e632 Fourth Edition",
"b5bc7066-adc6-e911-811b-000c29a8e632","Identification of the Problem & Assessment","10.00","b5bc7066-adc6-e911-811b-000c29a8e632","a4bc7066-adc6-e911-811b-000c29a8e632 Fourth Edition 1/13/2020 5:00:00 AM",
"c4bc7066-adc6-e911-811b-000c29a8e632","Ethical & Professional Conduct","45.00","c4bc7066-adc6-e911-811b-000c29a8e632","a5bc7066-adc6-e911-811b-000c29a8e632 Fourth Edition 5/26/2020 4:00:00 AM",
"c722df25-bad0-e911-811e-000c29a8e632","Identification of the Problem & Assessment","18.00","c722df25-bad0-e911-811e-000c29a8e632","b522df25-bad0-e911-811e-000c29a8e632 Fourth Edition 8/26/2019 4:00:00 AM",
"a5e2446f-c5d4-e911-811f-000c29a8e632","Philosophical Underpinnings","3.00","a5e2446f-c5d4-e911-811f-000c29a8e632","0711689b-c2d4-e911-811f-000c29a8e632 Fifth Edition 1/13/2020 5:00:00 AM",
