"institution_name","accredtype","accred_inst","institute_crm_id","department_name"
"University of North Texas","Semester","Southern Association of Colleges and Schools Commission on Colleges","2314E85F-6200-E411-BEB5-00505683000D","Behavior Analysis"
"University of North Texas","Semester","Southern Association of Colleges and Schools Commission on Colleges","2314E85F-6200-E411-BEB5-00505683000D","Behavior Analysis"
"Texas Tech University","Semester","Southern Association of Colleges and Schools Commission on Colleges https://www.chea.org/texas-tech-university","F0C0D783-085B-E911-8106-000C29A8E632","Educational Psychology & Leadership"
"University of Alabama in Huntsville","Semester","Southern Association of Colleges and Schools Commission on Colleges","33A72EF4-AC99-E911-810E-000C29A8E632","Curriculum and Instruction"
"Seneca College","Semester","Ministry of Training, Colleges and Universities","6D4DE4B0-E948-EA11-8140-000C29A8E632","Behavior Analysis"
"Institute for Accessibility Development Tsinghua University","Semester","Ministry of Education of The People's Republic of China","AAA647EE-EA48-EA11-8140-000C29A8E632","Education"
"Institute for Accessibility Development Tsinghua University","Semester","Ministry of Education of The People's Republic of China","AAA647EE-EA48-EA11-8140-000C29A8E632","Education"
"Marian University","Semester","Higher Learning Commission","58F68E28-EA48-EA11-8140-000C29A8E632","Special Education"
"University of Colorado Colorado Springs","Semester","Higher Learning Commission & Council for the Accreditation of Educator Preparation","6F9944DF-E848-EA11-8140-000C29A8E632","Education"
"Griffith University","Trimester","Australian Government Department of Education and Training","268E2938-EB48-EA11-8140-000C29A8E632","Allied Health Sciences"
"The University of British Columbia","Semester","Association of Universities and Colleges of Canada","5143B430-8E5B-E911-8106-000C29A8E632","Education"
"Arizona State University - Online","Semester","Higher Learning Commission (HLC)","6D99D86B-6200-E411-BEB5-00505683000D","Special Education"
"Arizona State University - Online","Semester","Higher Learning Commission (HLC)","6D99D86B-6200-E411-BEB5-00505683000D","Special Education"
"University of Miami - Center for Autism & Related Disabilities","Semester","Southern Association of Colleges & Schools Commission on Colleges","604A7EEE-093C-E711-B5CE-0050569C00A7",""
"Faculdade INESP","8-hour Modules (2 modules per month)","Ministry of Education (MEC) in Brazil","5378C7C0-EB48-EA11-8140-000C29A8E632","Education"
"Northeastern University","Semester","New England Commission of Higher Education","10D0EF59-6200-E411-BEB5-00505683000D","Psychology"
"York College of Pennsylvania","Semester","Middle States Commission on Higher Education - (MSCHE)","FCABB72D-E748-EA11-8140-000C29A8E632","Education"
"Northeastern University","Semester","New England Commission of Higher Education","10D0EF59-6200-E411-BEB5-00505683000D","Psychology"
"Northeastern University","Semester","New England Commission of Higher Education","10D0EF59-6200-E411-BEB5-00505683000D","Psychology"
"Northeastern University","Semester","New England Commission of Higher Education","10D0EF59-6200-E411-BEB5-00505683000D","Psychology"
"Touro University Nevada","Semester","WASC Senior College and University Commission","D13BFC7D-E948-EA11-8140-000C29A8E632","Education"
"West University of Timişoara","Semester","Ministry of National Education","1A5AA5AF-E748-EA11-8140-000C29A8E632","Special Education"
"Eötvös Lóránd University","Semester","Hungarian Accreditation Committee","BE6AAD33-EC48-EA11-8140-000C29A8E632","Psychology"
"Ouachita Baptist University","Semester","https://www.chea.org/ouachita-baptist-university","DEDB74FD-E948-EA11-8140-000C29A8E632","Behavior Analysis"
"Texas Tech University","Semester","Southern Association of Colleges and Schools Commission on Colleges https://www.chea.org/texas-tech-university","F0C0D783-085B-E911-8106-000C29A8E632","Educational Psychology & Leadership"
"McNeese State University","Semester","Southern Association of Colleges and Schools Commission on Colleges","5FDD208C-F341-E511-B471-0050569C00A7","Psychology"
"Griffith University","Trimester","Australian Government Department of Education and Training","268E2938-EB48-EA11-8140-000C29A8E632","Allied Health Sciences"
