"custrecord_rc_crse_crm_id","externalid","custrecord_rc_course_title","custrecord_rc_course_number","custrecord_rc_course_credit_level","custrecord_rc_course_credit_hours","custrecord_rc_course_instruction_mode","custrecord_rc_course_institution_name_uniq","custrecord_rc_course_institution_name","custrecord_rc_course_inst","custrecord_rc_course_dept",
"60f3a5db-586e-e911-8106-000c29a8e632","60f3a5db-586e-e911-8106-000c29a8e632","Clinical aspects","2- Clinical aspects","Undergraduate","75","On-Campus","","Levinsky College of Education","4462EB79-EA48-EA11-8140-000C29A8E632","Education",
"954aba82-386f-e911-8106-000c29a8e632","954aba82-386f-e911-8106-000c29a8e632","Functional analysis","3 - Functional analysis","Undergraduate","45","Both","","Levinsky College of Education","4462EB79-EA48-EA11-8140-000C29A8E632","Education",
"fbcbca83-3d6f-e911-8106-000c29a8e632","fbcbca83-3d6f-e911-8106-000c29a8e632","Concepts and principles, philosophical underpinnings","4 - Concepts and principles","Undergraduate","45","On-Campus","","Levinsky College of Education","4462EB79-EA48-EA11-8140-000C29A8E632","Education",
"d83c62a2-446f-e911-8106-000c29a8e632","d83c62a2-446f-e911-8106-000c29a8e632","Observation and research methods","5 - Observation and research methods","Undergraduate","30","Both","","Levinsky College of Education","4462EB79-EA48-EA11-8140-000C29A8E632","Education",
"2729fee9-af6f-e911-8106-000c29a8e632","2729fee9-af6f-e911-8106-000c29a8e632","Concepts and Principles of Behavior Analysis","AUT1901D","Graduate","3","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"d4dff7c4-b16f-e911-8106-000c29a8e632","d4dff7c4-b16f-e911-8106-000c29a8e632","Advanced Topics in Behavior Analysis","AUT1901E","Graduate","3","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"ef136d08-b36f-e911-8106-000c29a8e632","ef136d08-b36f-e911-8106-000c29a8e632","Ethical and Professional Conduct of Behavior Analysts","AUT1902D","Graduate","2","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"d7a6b200-b46f-e911-8106-000c29a8e632","d7a6b200-b46f-e911-8106-000c29a8e632","Advanced Topics in Ethical and Professional Conduct of Behavior Analysts","AUT1902E","Graduate","1","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"a565b6bf-b46f-e911-8106-000c29a8e632","a565b6bf-b46f-e911-8106-000c29a8e632","Behavior Measurement and Experimental Design I","AUT1903D","Graduate","2","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"d45e2966-c46f-e911-8106-000c29a8e632","d45e2966-c46f-e911-8106-000c29a8e632","Behavior Measurement and Experimental Design II","AUT1903E","Graduate","1","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"a6f80006-c56f-e911-8106-000c29a8e632","a6f80006-c56f-e911-8106-000c29a8e632","Behavior Assessment","AUT1904D","Graduate","3","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"c86590ea-c76f-e911-8106-000c29a8e632","c86590ea-c76f-e911-8106-000c29a8e632","Developing, Strengthening, and Maintaining Behavior","AUT1905D","Graduate","2","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"4d8ffb23-c96f-e911-8106-000c29a8e632","4d8ffb23-c96f-e911-8106-000c29a8e632","Decreasing, Eliminating, and Replacing Behavior","AUT1906D","Graduate","2","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"31aed150-ca6f-e911-8106-000c29a8e632","31aed150-ca6f-e911-8106-000c29a8e632","Personnel Supervision and Management I","AUT1907D","Graduate","1","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"d36a5a2e-cb6f-e911-8106-000c29a8e632","d36a5a2e-cb6f-e911-8106-000c29a8e632","Personnel Supervision and Management II","AUT1907E","Graduate","1","Hybrid","","Institute for Accessibility Development Tsinghua University","AAA647EE-EA48-EA11-8140-000C29A8E632","Education",
"04a7fd3f-1270-e911-8106-000c29a8e632","04a7fd3f-1270-e911-8106-000c29a8e632","Foundations: Concepts & Principles in Applied Behavior Analysis","PSY 561","Graduate","3","Online","Shenandoah University","Shenandoah University","7A23E613-C787-E511-A86B-0050569C00A7","Psychology",
"06b8bf3e-1d70-e911-8106-000c29a8e632","06b8bf3e-1d70-e911-8106-000c29a8e632","Concepts & Principles of Behavior","PSY 561","Graduate","3","On-Campus","Shenandoah University","Shenandoah University","7A23E613-C787-E511-A86B-0050569C00A7","Psychology",
"4977c3ae-2370-e911-8106-000c29a8e632","4977c3ae-2370-e911-8106-000c29a8e632","[Summer 2018] Psychology Practicum","PY592 / 590","Graduate","1-4","On-Campus","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"4a77c3ae-2370-e911-8106-000c29a8e632","4a77c3ae-2370-e911-8106-000c29a8e632","Complex Behavior and Theory","PY515 / 590","Graduate","4","On-Campus","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"4b77c3ae-2370-e911-8106-000c29a8e632","4b77c3ae-2370-e911-8106-000c29a8e632","Behavior Assessment and Measurement","PY501 / 590","Graduate","4","On-Campus","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"4c77c3ae-2370-e911-8106-000c29a8e632","4c77c3ae-2370-e911-8106-000c29a8e632","[Winter 2018] Psychology Practicum","PY592 / 590","Graduate","1-4","On-Campus","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"4d77c3ae-2370-e911-8106-000c29a8e632","4d77c3ae-2370-e911-8106-000c29a8e632","Advanced Research Methods & Experimental Design I","PY505 / 590","Graduate","4","On-Campus","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"4e77c3ae-2370-e911-8106-000c29a8e632","4e77c3ae-2370-e911-8106-000c29a8e632","Behavior Modification","PY511","Graduate","4","Hybrid","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"2a56f7b4-2370-e911-8106-000c29a8e632","2a56f7b4-2370-e911-8106-000c29a8e632","[Winter 2018] Behavior Modification","PY511 / 590","Graduate","4","On-Campus","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"2b56f7b4-2370-e911-8106-000c29a8e632","2b56f7b4-2370-e911-8106-000c29a8e632","Practice and Ethics in Behavior Analysis","PY513 / 590","Graduate","4","On-Campus","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"2c56f7b4-2370-e911-8106-000c29a8e632","2c56f7b4-2370-e911-8106-000c29a8e632","Professional Ethics","PY462","Graduate","4","Hybrid","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"2d56f7b4-2370-e911-8106-000c29a8e632","2d56f7b4-2370-e911-8106-000c29a8e632","Analysis of Behavior: Advanced Theory & Methods","PY503 / 590","Graduate","4","On-Campus","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"2e56f7b4-2370-e911-8106-000c29a8e632","2e56f7b4-2370-e911-8106-000c29a8e632","Psychology Practicum","PY592","Graduate","4","Hybrid","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"2f56f7b4-2370-e911-8106-000c29a8e632","2f56f7b4-2370-e911-8106-000c29a8e632","Behavioral Assessment  & Evaluation","PY403","Graduate","4","On-Campus","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"3056f7b4-2370-e911-8106-000c29a8e632","3056f7b4-2370-e911-8106-000c29a8e632","Ethical Standards in Applied Psychology","PY495","Graduate","4","Hybrid","Northern Michigan University","Northern Michigan University","12D0EF59-6200-E411-BEB5-00505683000D","Department of Psychological Science",
"a1a8825d-2570-e911-8106-000c29a8e632","a1a8825d-2570-e911-8106-000c29a8e632","Applied Behavior Analysis","EDS 601","Graduate","3","Hybrid","University of Kentucky","University of Kentucky","FB13E85F-6200-E411-BEB5-00505683000D","Special Education",
"a3a8825d-2570-e911-8106-000c29a8e632","a3a8825d-2570-e911-8106-000c29a8e632","Professional Ethics for Behavior Analysis II","EDS 615/EDS 779","Graduate","1","Hybrid","University of Kentucky","University of Kentucky","FB13E85F-6200-E411-BEB5-00505683000D","Special Education",
"a4a8825d-2570-e911-8106-000c29a8e632","a4a8825d-2570-e911-8106-000c29a8e632","Professional Ethics for Behavior Analysis I","EDS 614/EDS 779","Graduate","1","Hybrid","University of Kentucky","University of Kentucky","FB13E85F-6200-E411-BEB5-00505683000D","Special Education",
"a5a8825d-2570-e911-8106-000c29a8e632","a5a8825d-2570-e911-8106-000c29a8e632","Professional Ethics for Behavior Analysis III","EDS 616/EDS 779","Graduate","1","Hybrid","University of Kentucky","University of Kentucky","FB13E85F-6200-E411-BEB5-00505683000D","Special Education",
"a6a8825d-2570-e911-8106-000c29a8e632","a6a8825d-2570-e911-8106-000c29a8e632","Advanced Methods for Teaching Students with Disabilities","EDS 630","Graduate","3","Hybrid","University of Kentucky","University of Kentucky","FB13E85F-6200-E411-BEB5-00505683000D","Special Education",
"a7a8825d-2570-e911-8106-000c29a8e632","a7a8825d-2570-e911-8106-000c29a8e632","Practical Applications of Applied Behavior Analysis","EDS 605","Graduate","3","Hybrid","University of Kentucky","University of Kentucky","FB13E85F-6200-E411-BEB5-00505683000D","Special Education",
"a8a8825d-2570-e911-8106-000c29a8e632","a8a8825d-2570-e911-8106-000c29a8e632","Behavioral Consultation in the Schools","EDS 603","Graduate","3","Hybrid","University of Kentucky","University of Kentucky","FB13E85F-6200-E411-BEB5-00505683000D","Special Education",
"a9a8825d-2570-e911-8106-000c29a8e632","a9a8825d-2570-e911-8106-000c29a8e632","Single Subject Research Design","EDS 633","Graduate","3","Hybrid","University of Kentucky","University of Kentucky","FB13E85F-6200-E411-BEB5-00505683000D","Special Education",
"dbd479bc-4d80-e911-810a-000c29a8e632","dbd479bc-4d80-e911-810a-000c29a8e632","Behavior Change Procedures","ABA 4","Undergraduate","30","Online","Beijing Normal University","Beijing Normal University","D775280C-6B55-E911-8106-000C29A8E632","Special Education",
"dcd479bc-4d80-e911-810a-000c29a8e632","dcd479bc-4d80-e911-810a-000c29a8e632","Observational Methods and Functional Behavior Assessment","ABA 3","Undergraduate","45","Online","Beijing Normal University","Beijing Normal University","D775280C-6B55-E911-8106-000C29A8E632","Special Education",
"ddd479bc-4d80-e911-810a-000c29a8e632","ddd479bc-4d80-e911-810a-000c29a8e632","Introduction of Supervision & Management","Supervision and Management 2","Undergraduate","15","Online","Beijing Normal University","Beijing Normal University","D775280C-6B55-E911-8106-000C29A8E632","Special Education",
"478e5035-5481-e911-810a-000c29a8e632","478e5035-5481-e911-810a-000c29a8e632","Graduate Seminar","PSY 580","Graduate","3","Online","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"488e5035-5481-e911-810a-000c29a8e632","488e5035-5481-e911-810a-000c29a8e632","Clinical Applications of Applied Behavior Analysis","PSY 527","Graduate","3","Hybrid","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"498e5035-5481-e911-810a-000c29a8e632","498e5035-5481-e911-810a-000c29a8e632","Behavioral Interventions","PSY 532","Graduate","3","Hybrid","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"4a8e5035-5481-e911-810a-000c29a8e632","4a8e5035-5481-e911-810a-000c29a8e632","Behavioral Assessment","PSY 531","Graduate","3","Hybrid","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"4b8e5035-5481-e911-810a-000c29a8e632","4b8e5035-5481-e911-810a-000c29a8e632","Behavioral Interventions","PSY 522","Graduate","3","Hybrid","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"4c8e5035-5481-e911-810a-000c29a8e632","4c8e5035-5481-e911-810a-000c29a8e632","Fieldwork and Seminar in ABA III","PSY 584","Graduate","2","On-Campus","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"4d8e5035-5481-e911-810a-000c29a8e632","4d8e5035-5481-e911-810a-000c29a8e632","Research Design in Applied Behavior Analysis","PSY 526","Graduate","3","Hybrid","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"4e8e5035-5481-e911-810a-000c29a8e632","4e8e5035-5481-e911-810a-000c29a8e632","Before SEPT 2016 - Principles of Applied Behavior Analysis","PSY 509","Graduate","3","On-Campus","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"4f8e5035-5481-e911-810a-000c29a8e632","4f8e5035-5481-e911-810a-000c29a8e632","Behavioral Assesment","PSY 521","Graduate","3","Hybrid","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"508e5035-5481-e911-810a-000c29a8e632","508e5035-5481-e911-810a-000c29a8e632","Before SEPT 2016 - Clinical Applications of Applied Behavior Analysis","PSY 527","Graduate","3","On-Campus","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"518e5035-5481-e911-810a-000c29a8e632","518e5035-5481-e911-810a-000c29a8e632","Implementing Behavior Analysis in Educational Settings","PSY 525","Graduate","3","On-Campus","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"528e5035-5481-e911-810a-000c29a8e632","528e5035-5481-e911-810a-000c29a8e632","Before SEPT 2016 - Research Design in Applied Behavior Analysis","PSY 526","Graduate","3","On-Campus","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"538e5035-5481-e911-810a-000c29a8e632","538e5035-5481-e911-810a-000c29a8e632","Before SEPT 2016 - Ethics & Professionalism in Applied Behavior Analysis","PSY 529","Graduate","3","On-Campus","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"548e5035-5481-e911-810a-000c29a8e632","548e5035-5481-e911-810a-000c29a8e632","Advanced ABA","PSY 520","Graduate","3","Hybrid","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"558e5035-5481-e911-810a-000c29a8e632","558e5035-5481-e911-810a-000c29a8e632","Principles of Applied Behavior Analysis","PSY 509","Graduate","3","Hybrid","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"568e5035-5481-e911-810a-000c29a8e632","568e5035-5481-e911-810a-000c29a8e632","Before SEPT 2016 - Advanced Applied Behavior Analysis","PSY 520","Graduate","3","On-Campus","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"578e5035-5481-e911-810a-000c29a8e632","578e5035-5481-e911-810a-000c29a8e632","Before SEPT 2016 - Implementing  Behavioral Analysis in an Educational Setting","PSY 525","Graduate","3","On-Campus","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"588e5035-5481-e911-810a-000c29a8e632","588e5035-5481-e911-810a-000c29a8e632","Fieldwork and Seminar in ABA I","PSY 582","Graduate","2","On-Campus","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"598e5035-5481-e911-810a-000c29a8e632","598e5035-5481-e911-810a-000c29a8e632","Ethics and Professionalism in ABA","PSY 529","Graduate","3","Hybrid","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"5a8e5035-5481-e911-810a-000c29a8e632","5a8e5035-5481-e911-810a-000c29a8e632","Fieldwork and Seminar in ABA II","PSY 583","Graduate","2","On-Campus","University of Massachusetts Dartmouth","University of Massachusetts Dartmouth","9FED46E7-945B-E911-8106-000C29A8E632","Psychology",
"f4ed4098-7781-e911-810a-000c29a8e632","f4ed4098-7781-e911-810a-000c29a8e632","Behavior Analysis Processes for Behavior Change","ABA 602","Graduate","3.0","Online","California State University San Marcos","California State University San Marcos","E728FD71-1356-E911-8106-000C29A8E632","Education",
"f5ed4098-7781-e911-810a-000c29a8e632","f5ed4098-7781-e911-810a-000c29a8e632","Classroom Management, Instructional Methods, and Ethical Considerations in Applied Behavior Analysis","ABA 604","Graduate","3.0","Online","California State University San Marcos","California State University San Marcos","E728FD71-1356-E911-8106-000C29A8E632","Education",
"f6ed4098-7781-e911-810a-000c29a8e632","f6ed4098-7781-e911-810a-000c29a8e632","Ethics and Professional Conduct in Behavior Analysis","ABA 606","Graduate","3.0","Online","California State University San Marcos","California State University San Marcos","E728FD71-1356-E911-8106-000C29A8E632","Education",
"f7ed4098-7781-e911-810a-000c29a8e632","f7ed4098-7781-e911-810a-000c29a8e632","Applied Behavior Analysis in Autism Spectrum Disorder","ABA 605","Graduate","3.0","Online","California State University San Marcos","California State University San Marcos","E728FD71-1356-E911-8106-000C29A8E632","Education",
"f8ed4098-7781-e911-810a-000c29a8e632","f8ed4098-7781-e911-810a-000c29a8e632","Applied Behavior Analysis Applications for Complex Procedures and Promoting Behavior Change","ABA 603","Graduate","3.0","Online","California State University San Marcos","California State University San Marcos","E728FD71-1356-E911-8106-000C29A8E632","Education",
"f9ed4098-7781-e911-810a-000c29a8e632","f9ed4098-7781-e911-810a-000c29a8e632","Foundations and Concepts in Behavior Analysis","ABA 601","Graduate","3.0","Online","California State University San Marcos","California State University San Marcos","E728FD71-1356-E911-8106-000C29A8E632","Education",
"e7408c9c-7d81-e911-810a-000c29a8e632","e7408c9c-7d81-e911-810a-000c29a8e632","Philosophical Assumptions of Behavior Analysis","EDSP 5603","Graduate","3","Both","University of Oklahoma","University of Oklahoma","4158E065-6200-E411-BEB5-00505683000D","Special Education",
"e80fb872-9181-e911-810a-000c29a8e632","e80fb872-9181-e911-810a-000c29a8e632","Principles of Applied Behavior Analysis","PSYC 0646","Graduate","3","On-Campus","Westfield State University","Westfield State University","D3DBA9E2-A05B-E911-8106-000C29A8E632","Psychology",
"64f5def5-0e82-e911-810a-000c29a8e632","64f5def5-0e82-e911-810a-000c29a8e632","Advanced Issues in Values, Ethics, and Professional Practice","TZ904","Graduate","20","On-Campus","University of Kent","University of Kent","60929749-935B-E911-8106-000C29A8E632","School of Social Policy, Sociology, and Social Research",
"91075c0b-1182-e911-810a-000c29a8e632","91075c0b-1182-e911-810a-000c29a8e632","Behavioural Assessment","TZ903","Graduate","20","On-Campus","University of Kent","University of Kent","60929749-935B-E911-8106-000C29A8E632","School of Social Policy, Sociology, and Social Research",
"2ed0ba1d-1282-e911-810a-000c29a8e632","2ed0ba1d-1282-e911-810a-000c29a8e632","Autism Spectrum Disorders: Assessment and Intervention","CEP 845","Graduate","4","Online","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"2fd0ba1d-1282-e911-810a-000c29a8e632","2fd0ba1d-1282-e911-810a-000c29a8e632","Verbal Behavior in Education","CEP 855","Graduate","3","Online","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"30d0ba1d-1282-e911-810a-000c29a8e632","30d0ba1d-1282-e911-810a-000c29a8e632","Single Case Experimental Designs for Intervention Research","CEP 942","Graduate","3","Online","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"31d0ba1d-1282-e911-810a-000c29a8e632","31d0ba1d-1282-e911-810a-000c29a8e632","Ethics in Behavior Analysis","CEP 854","Graduate","3","Online","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"32d0ba1d-1282-e911-810a-000c29a8e632","32d0ba1d-1282-e911-810a-000c29a8e632","Autism Spectrum Disorders: Advanced Topics","CEP 846","Graduate","3","Online","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"34d0ba1d-1282-e911-810a-000c29a8e632","34d0ba1d-1282-e911-810a-000c29a8e632","Applied Behavior Analysis 1","CEP 844","Graduate","3","Online","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"982b064c-1282-e911-810a-000c29a8e632","982b064c-1282-e911-810a-000c29a8e632","Concepts and Principles in Applied Behaviour Analysis","TZ905","Graduate","20","On-Campus","University of Kent","University of Kent","60929749-935B-E911-8106-000C29A8E632","School of Social Policy, Sociology, and Social Research",
"662b00a4-1382-e911-810a-000c29a8e632","662b00a4-1382-e911-810a-000c29a8e632","Concepts, Principles, and Underpinning Philosophy of Applied Behaviour Analysis","TZ900","Graduate","20","On-Campus","University of Kent","University of Kent","60929749-935B-E911-8106-000C29A8E632","School of Social Policy, Sociology, and Social Research",
"f281d561-1582-e911-810a-000c29a8e632","f281d561-1582-e911-810a-000c29a8e632","Research Methods in Applied Behaviour Analysis","TZ907","Graduate","20","On-Campus","University of Kent","University of Kent","60929749-935B-E911-8106-000C29A8E632","School of Social Policy, Sociology, and Social Research",
"f69bb848-1782-e911-810a-000c29a8e632","f69bb848-1782-e911-810a-000c29a8e632","Developing and Implementing Interventions","TZ902","Graduate","20","On-Campus","University of Kent","University of Kent","60929749-935B-E911-8106-000C29A8E632","School of Social Policy, Sociology, and Social Research",
"db31997b-1882-e911-810a-000c29a8e632","db31997b-1882-e911-810a-000c29a8e632","Positive Behaviour Interventions","TZ901","Graduate","20","On-Campus","University of Kent","University of Kent","60929749-935B-E911-8106-000C29A8E632","School of Social Policy, Sociology, and Social Research",
"73cfb9df-1f82-e911-810a-000c29a8e632","73cfb9df-1f82-e911-810a-000c29a8e632","Functional Behavior Assessment and Behavior Change","CEP 853","Graduate","3","Hybrid","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"74cfb9df-1f82-e911-810a-000c29a8e632","74cfb9df-1f82-e911-810a-000c29a8e632","Verbal Behavior in Education","CEP 855","Graduate","3","Hybrid","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"75cfb9df-1f82-e911-810a-000c29a8e632","75cfb9df-1f82-e911-810a-000c29a8e632","Concepts and Principles in Behavior Analysis","CEP 851","Graduate","3","Hybrid","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"a166fee5-1f82-e911-810a-000c29a8e632","a166fee5-1f82-e911-810a-000c29a8e632","Autism Spectrum Disorders: Assessment and Intervention","CEP 845","Graduate","3","Hybrid","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"a266fee5-1f82-e911-810a-000c29a8e632","a266fee5-1f82-e911-810a-000c29a8e632","Experimental Analysis of Behavior","CEP 852","Graduate","3","Hybrid","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"a366fee5-1f82-e911-810a-000c29a8e632","a366fee5-1f82-e911-810a-000c29a8e632","Single-case Experimental Design for Intervention Research","CEP 942","Graduate","3","Hybrid","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
"a466fee5-1f82-e911-810a-000c29a8e632","a466fee5-1f82-e911-810a-000c29a8e632","Ethics in Behavior Analysis","CEP 854","Graduate","3","Hybrid","Michigan State University","Michigan State University/Special Education Program","87FB3B4A-CDC6-E511-87AE-0050569C00A7","Education",
