"custrecord_rc_crse_crm_id","externalid","custrecord_rc_course_title","custrecord_rc_course_number","custrecord_rc_course_credit_level","custrecord_rc_course_credit_hours","custrecord_rc_course_instruction_mode","custrecord_crse_seq_crm_id","custrecord_crse_seq_departmnt","custrecord_crse_seq_apprvl_level","custrecord_inst_crm_id","custrecord_inst_name","custrecord_rc_course_edition","custrecord_rc_crs_seq_crs_assgn","custrecord_crse_seq_name",
"52132e1c-d80e-e911-8106-000c29a8e632","52132e1c-d80e-e911-8106-000c29a8e632","Methods and Measurement in Applied Behavior Analysis","EPY 659","Graduate","4","Online","301a9fc8-c20e-e911-8106-000c29a8e632","Education","Graduate","3F7383A1-F5B1-E811-8102-000C29A8E632","Western Connecticut State University","Fifth Edition","53132e1c-d80e-e911-8106-000c29a8e632","51003 BCBA",
"1c71d130-d80e-e911-8106-000c29a8e632","1c71d130-d80e-e911-8106-000c29a8e632","Ethics and Professional Issues","EPY 660","Graduate","3","Online","301a9fc8-c20e-e911-8106-000c29a8e632","Education","Graduate","3F7383A1-F5B1-E811-8102-000C29A8E632","Western Connecticut State University","Fifth Edition","1d71d130-d80e-e911-8106-000c29a8e632","51003 BCBA",
"e92fb414-d90e-e911-8106-000c29a8e632","e92fb414-d90e-e911-8106-000c29a8e632","Advanced Behavior Management in Severe Disabilities","EDSP 721","Graduate","3","Both","95dab5b2-c70e-e911-8106-000c29a8e632","Education","Graduate","AFADA79E-C492-E511-A86B-0050569C00A7","University of Nevada Reno","Fifth Edition","ea2fb414-d90e-e911-8106-000c29a8e632","51001 BCBA",
"7ad933a4-da0e-e911-8106-000c29a8e632","7ad933a4-da0e-e911-8106-000c29a8e632","Assessment of Individuals with Severe Disabilities","EDSP 719","Graduate","3","Both","95dab5b2-c70e-e911-8106-000c29a8e632","Education","Graduate","AFADA79E-C492-E511-A86B-0050569C00A7","University of Nevada Reno","Fifth Edition","7bd933a4-da0e-e911-8106-000c29a8e632","51001 BCBA",
"7694a3ec-dd0e-e911-8106-000c29a8e632","7694a3ec-dd0e-e911-8106-000c29a8e632","Special  Topics in Advanced Educational Measurement and Statistics - Single - Case Design & Analysis","EDRS 771","Graduate","3","Both","95dab5b2-c70e-e911-8106-000c29a8e632","Education","Graduate","AFADA79E-C492-E511-A86B-0050569C00A7","University of Nevada Reno","Fifth Edition","7794a3ec-dd0e-e911-8106-000c29a8e632","51001 BCBA",
"c19f88a8-de0e-e911-8106-000c29a8e632","c19f88a8-de0e-e911-8106-000c29a8e632","Introduction to Concepts and Principles of Behavior Analysis","EPY 655","Graduate","3","Online","301a9fc8-c20e-e911-8106-000c29a8e632","Education","Graduate","3F7383A1-F5B1-E811-8102-000C29A8E632","Western Connecticut State University","Fifth Edition","c29f88a8-de0e-e911-8106-000c29a8e632","51003 BCBA",
"94251a3a-e00e-e911-8106-000c29a8e632","94251a3a-e00e-e911-8106-000c29a8e632","Philosophical Foundations of Behavior Analysis in Education","EDSP 727","Graduate","3","Both","95dab5b2-c70e-e911-8106-000c29a8e632","Education","Graduate","AFADA79E-C492-E511-A86B-0050569C00A7","University of Nevada Reno","Fifth Edition","95251a3a-e00e-e911-8106-000c29a8e632","51001 BCBA",
"75d1456a-850f-e911-8106-000c29a8e632","75d1456a-850f-e911-8106-000c29a8e632","ABA Foundations, Concepts, and Principles I","BEHV 5610","Graduate","3","Online","be3379fd-7e0f-e911-8106-000c29a8e632","Behavior Analysis","Graduate","B6D8BF32-995B-E911-8106-000C29A8E632","University of North Texas","Fifth Edition","76d1456a-850f-e911-8106-000c29a8e632","51002 BCBA",
"107c991f-890f-e911-8106-000c29a8e632","107c991f-890f-e911-8106-000c29a8e632","Meaningful Assessment in Applied Behavior Analysis","BEHV 5612","Graduate","3","Online","be3379fd-7e0f-e911-8106-000c29a8e632","Behavior Analysis","Graduate","B6D8BF32-995B-E911-8106-000C29A8E632","University of North Texas","Fifth Edition","117c991f-890f-e911-8106-000c29a8e632","51002 BCBA",
"95fd85f5-890f-e911-8106-000c29a8e632","95fd85f5-890f-e911-8106-000c29a8e632","Culturally Responsive Ethics in Behavioral Practice","BEHV 5613","Graduate","3","Online","be3379fd-7e0f-e911-8106-000c29a8e632","Behavior Analysis","Graduate","B6D8BF32-995B-E911-8106-000C29A8E632","University of North Texas","Fifth Edition","96fd85f5-890f-e911-8106-000c29a8e632","51002 BCBA",
"9b4531ee-910f-e911-8106-000c29a8e632","9b4531ee-910f-e911-8106-000c29a8e632","ABA Foundations, Concepts, and Principles 2","BEHV 5618","Graduate","3","Online","be3379fd-7e0f-e911-8106-000c29a8e632","Behavior Analysis","Graduate","B6D8BF32-995B-E911-8106-000C29A8E632","University of North Texas","Fifth Edition","9c4531ee-910f-e911-8106-000c29a8e632","51002 BCBA",
"b20ca699-7142-4987-afbd-61b4d5975010","b20ca699-7142-4987-afbd-61b4d5975010","Measurement, Data Display, Interpretation, and Experimental Design","EDSBA 52100","Graduate","3","Hybrid","28b32bf1-43f4-474e-94a6-e6055c086b9c","Educational Leadership","","875902E1-385A-E911-8106-000C29A8E632","Lindenwood University","Fifth Edition","05ff52a4-bdfa-43ce-9bbc-01595501ccbb","4175 BCBA",
"1a944dae-340c-4164-9f4f-fa5e329480b6","1a944dae-340c-4164-9f4f-fa5e329480b6","Advanced Issues in Values, Ethics, and Professional Practice","TZ 878","Graduate","30","On-Campus","b3be2baa-3535-4e94-86ef-18ec4f84bada","Social Policy, Sociology, and Social Research","Graduate","60929749-935B-E911-8106-000C29A8E632","University of Kent","Fourth Edition","14021e40-0ba4-4aea-acf6-01839a88ca04","4427 BCBA",
"0d2a920b-34c9-4827-aeed-78ea980e0716","0d2a920b-34c9-4827-aeed-78ea980e0716","Behaviorism","Psyc 8540","Graduate","3","On-Campus","e751cf67-28b0-42f8-a32e-4869eb98e587","Psychology","","D99548F8-CC92-E511-A86B-0050569C00A7","Auburn University","Fourth Edition","f6b4a9c8-93fe-46ba-85dd-018957261c07","4001 BCBA",
"6caf1b13-33af-4d4a-8c4f-02ff0888d510","6caf1b13-33af-4d4a-8c4f-02ff0888d510","Issues in parents training in designing of behavioural intervention programs","1021002-0","Graduate","30","On-Campus","1e3b777f-a074-4d28-a5d5-4df98a143032","Further Education","","00C9E437-DB5A-E911-8106-000C29A8E632","Oranim Academic College of Education","Fourth Edition","07f3b1b7-ee9c-43ac-bb46-01bcb8c230b8","4321 BCaBA",
"b25c37f3-6dcf-41c6-a250-e68c80590b6f","b25c37f3-6dcf-41c6-a250-e68c80590b6f","Foundations of Behavior Analysis","EDSP 5500","Graduate","45","Online","dff6bda8-55d1-41cc-93b4-bf8d216a76a7","Psychology","Graduate","455B9627-3A5A-E911-8106-000C29A8E632","Loyola Marymount University","Fourth Edition","be8aa7ff-614b-495e-a8e1-021d4c67f765","4465 BCBA",
"25aacb46-95da-47d6-85b3-8b16e40ec41a","25aacb46-95da-47d6-85b3-8b16e40ec41a","Research methods","TZ 830","Graduate","15","Hybrid","b3be2baa-3535-4e94-86ef-18ec4f84bada","Social Policy, Sociology, and Social Research","Graduate","60929749-935B-E911-8106-000C29A8E632","University of Kent","Fourth Edition","d6077ec4-2ee6-4a91-bca9-023111f075f8","4427 BCBA",
"ab7d0aa5-64de-491a-b2d9-8fb0a679ce29","ab7d0aa5-64de-491a-b2d9-8fb0a679ce29","Developing, Stregthening and Maintaining new Behavior","300","Graduate","3","On-Campus","221d0e46-3431-4d06-b4bd-35069f785402","School of Education, Deparment of Continuing Education","","0E88E5FF-1D5A-E911-8106-000C29A8E632","Hebrew University of Jerusalem","Fourth Edition","3e198c15-a583-4909-a819-023eb4cd96be","4339 BCBA",
"1c143c2d-63a5-e811-886b-000d3a30c887","1c143c2d-63a5-e811-886b-000d3a30c887","[Starting Spring 2019] Intermediate Clinical Practicum: ABA","PSY 693","Graduate","1-2","On-Campus","9a1fe9e6-23fb-42c6-a807-a980f1a902c7","Psychology","Graduate","BC3BB648-FAB1-E411-B490-0050569C00A7","University of North Carolina Wilmington","Fourth Edition","4b5345c9-6e7a-4115-9455-0241b3fcf663","4289 BCBA",
"45b8ce65-3ee9-4f47-82e1-b01513f0c018","45b8ce65-3ee9-4f47-82e1-b01513f0c018","Ethics, Trends and Issues in Education and Treatment of Students with Autism and Other Developmental Disabilities","SPED 5324","Graduate","3","On-Campus","d81e5d02-4ec0-49e9-a4ad-303b02464487","Curriculum and Instruction","","0C535101-085B-E911-8106-000C29A8E632","Texas State University","Fourth Edition","017c2278-2b8a-4b40-ba13-0288036238c5","4126 BCBA",
"658d411b-220c-4fa2-9ff3-56c25034f503","658d411b-220c-4fa2-9ff3-56c25034f503","Developing and implementing interventions","TZ 871","Graduate","15","On-Campus","b3be2baa-3535-4e94-86ef-18ec4f84bada","Social Policy, Sociology, and Social Research","Graduate","60929749-935B-E911-8106-000C29A8E632","University of Kent","Fourth Edition","bf70f651-5395-405b-8fe7-0290be5e4c1e","4427 BCBA",
"7802428d-d7bb-48a1-8a34-5d7c8215bb4a","7802428d-d7bb-48a1-8a34-5d7c8215bb4a","Behavior Change Procedures & Systems Support","PSY 557","Graduate","3","Hybrid","48de9c13-81ca-47e8-b68d-4a1badae5ece","Psychology","","6EE7FC4D-6200-E411-BEB5-00505683000D","California State University Northridge","Fifth Edition","d4b60db4-0cbe-4470-b601-0290ecf78df0","4145 BCBA",
"7bbddca7-ce86-4af1-8dcf-74ca3c0a2dd0","7bbddca7-ce86-4af1-8dcf-74ca3c0a2dd0","Psychology 539:  Behavioral Approaches to Skill Acquisition","Psychology 539","Graduate","30","On-Campus","c470fb47-72e7-4fb3-ae58-34443da139dc","Psychology","Graduate","7DDC8518-B12E-E711-AD45-0050569C00A7","University of Southern California","Fourth Edition","a493a0e4-ba92-4c3d-909f-029ddc2cef41","4423 BCBA",
"c05d76c5-cd2d-4e7a-9c68-9086be1245dd","c05d76c5-cd2d-4e7a-9c68-9086be1245dd","(Starting Fall 2016) Applied Behavior Analysis","PSYC 8550","Graduate","3","On-Campus","e751cf67-28b0-42f8-a32e-4869eb98e587","Psychology","","D99548F8-CC92-E511-A86B-0050569C00A7","Auburn University","Fourth Edition","7052e0b0-ced8-4e9f-95e3-02bc52c92dae","4001 BCBA",
"d1f6aeb9-ea34-4ea4-bbfc-755f9ef9c640","d1f6aeb9-ea34-4ea4-bbfc-755f9ef9c640","Applied Behavior Analysis in School Settings","SPED 430","Graduate","3","On-Campus","b3d307ac-609b-464d-8d7d-8f86f25a8aca","Special Education","Graduate","83D56495-9D5B-E911-8106-000C29A8E632","University of Tennessee","Fourth Edition","f08071ac-4832-413b-baaf-02bce0997d13","4344 BCBA",
"f5429c2a-1d41-44ae-975e-64ca0075d32f","f5429c2a-1d41-44ae-975e-64ca0075d32f","Topics in Behaviour Intervention","PSYC 3335 / 3545","Undergraduate","1","Hybrid","c4ec340e-d0f4-4054-9f60-d28f4d012169","Psychology","Undergraduate","1214E85F-6200-E411-BEB5-00505683000D","University of New Brunswick","Fourth Edition","b24895b4-34f7-4d4b-8a5f-02d9f1a58ee2","4227 BCaBA",
"5423635e-5351-41a2-a39c-6a8c557d25d1","5423635e-5351-41a2-a39c-6a8c557d25d1","Special Topics in Behaviour Analysis","0","Undergraduate","3","On-Campus","d362a00b-7557-4d04-aa0c-28ffa10d3cf4","School of Social & Community Services","","732E3946-1F5A-E911-8106-000C29A8E632","Humber College","Fourth Edition","14284a75-409f-48b5-b510-02e1ee5583ef","4102 BCaBA",
"85dd7529-ff21-4818-a39b-c138c2055680","85dd7529-ff21-4818-a39b-c138c2055680","Concepts and Principles of Behavior Analysis","SPED 590","Graduate","3","Online","8c1a0931-afbf-44c4-a448-c1c81de09df9","Teaching and Learning","","2014E85F-6200-E411-BEB5-00505683000D","University of North Dakota","Fourth Edition","0e300752-b044-4800-b4f8-02e7be7e6d57","4090 BCBA",
"814c7002-fe96-4599-bc0b-8b7848589f94","814c7002-fe96-4599-bc0b-8b7848589f94","Developmental Psychology and ABA Interventions","PSY 611","Graduate","1","Hybrid","48de9c13-81ca-47e8-b68d-4a1badae5ece","Psychology","","6EE7FC4D-6200-E411-BEB5-00505683000D","California State University Northridge","Fifth Edition","31be4f4a-9f94-4578-8131-02ea36c64b34","4145 BCBA",
"a3daa6fc-bba9-4403-b818-2237928137ce","a3daa6fc-bba9-4403-b818-2237928137ce","Ethics and Professional Conduct for Behavior Analysts","873.605","Graduate","3","On-Campus","4f5af8d7-875f-4409-bfab-3f7b833690bd","Special Education","Graduate","0D7383A1-F5B1-E811-8102-000C29A8E632","Johns Hopkins University","Fourth Edition","c5806384-916c-49c6-baf4-02f1a93122a0","4083 BCBA",
"8bf298fb-e64e-4518-8d23-1379c7cfea04","8bf298fb-e64e-4518-8d23-1379c7cfea04","Concepts & Principles of Behavior Analysis","101","Undergraduate","3","Hybrid","9a7a5817-0b47-46d1-b7aa-6f59b335ce9c","SEEK ABA-Taiwan","","2090EE70-A15B-E911-8106-000C29A8E632","CAPPDR-SEEK","Fourth Edition","f4c47fe8-f882-48c8-8c15-033157851397","4081 BCaBA",
"6a0cf942-8382-e511-a33f-00155da948a4","6a0cf942-8382-e511-a33f-00155da948a4","Intro to ABA","Psy 4010","Undergraduate","3","Hybrid","d841a34f-1e30-4ab5-ad29-180377053c50","Psychological Science","","ACA4F57D-0784-E511-A86B-0050569C00A7","University of Central Missouri","Fourth Edition","e936f5b5-5815-41ad-b0c9-0337e8ad41bf","4346 BCaBA",
"5382f803-c12e-4d74-ac01-3c4a9690d344","5382f803-c12e-4d74-ac01-3c4a9690d344","Functional Assessment and Intervention","ABA 511","Graduate","4","Hybrid","8d539bdf-3c3e-4176-bdb5-6aa1668045c3","Behavior Analysis","Graduate","268D7697-D55A-E911-8106-000C29A8E632","National Louis University","Fourth Edition","a005294a-f3ec-4023-b89e-03390d4cdff4","4447 BCBA",
"f1916af9-9b92-43c8-ab6a-4cadf33c8798","f1916af9-9b92-43c8-ab6a-4cadf33c8798","Selecting and Implementing Interventions","SKA-6","Undergraduate","2","Online","101e90b2-09e0-4b6b-8773-09c4efa3d9ad","Department of Additional and Continuing Education","","7D7A5632-A15B-E911-8106-000C29A8E632","Azerbaijan Agdam Social College","Fifth Edition","65d2ff53-b07d-472c-8da5-033f6e68cffc","4511 BCaBA",
"3892b836-dee4-4be9-bf09-a0a738685115","3892b836-dee4-4be9-bf09-a0a738685115","Ethics II: cultural Influences and Risk-Benefit Analysis","SBEH 108","Graduate","1","Hybrid","ac269b97-ba7b-4f92-ba21-d172bfadde3f","Behavior Analysis","","7C77E117-035B-E911-8106-000C29A8E632","SEEK Applied Behavior Analysis Association - Taiwan","Fifth Edition","535b6c5b-3cdd-4966-b2b0-035c3b7d36cb","4395 BCBA",
"56abacbd-dcd9-e211-aef1-1cc1de727452","56abacbd-dcd9-e211-aef1-1cc1de727452","Problem Identification and Assessment","II","Graduate","4.5","Online","89a5aa95-6482-4148-af44-05aaeafdf72d","Department of Applied Behavior Analysis","","6228413D-D15A-E911-8106-000C29A8E632","Moscow Institute of Psychoanalysis","Fourth Edition","b0403568-4969-4fd7-97dc-035cd9d952a7","4076 BCaBA",
"70713401-3155-42a6-848b-997128ac85b8","70713401-3155-42a6-848b-997128ac85b8","Advanced Learning and Behavior","PSYCH 221","Graduate","4","On-Campus","f0ac76f8-9427-4e23-b0ca-8ff07b4e5653","Psychology","Graduate","350ABAAD-1056-E911-8106-000C29A8E632","California State University Fresno","Fifth Edition","32317156-df30-4ec8-8872-03664cc8bd13","4246 BCBA",
"2da16aaf-e6e5-4543-acb5-4c4e86f36e13","2da16aaf-e6e5-4543-acb5-4c4e86f36e13","Concepts of Behavior Analysis","Course 7","Graduate","3","Hybrid","1162a3ca-9937-4c22-8279-c78f100df46c","AARBA-AIAMC","","97CE5E1E-A15B-E911-8106-000C29A8E632","Associations for the Advancement of Radical Behavior Analysis and the Italian-American Association of Behavior Analysis and Modification, and Behavioral-Cognitive Therapy (AARBA-AIAMC)","Fifth Edition","8b876ef7-37f4-4c40-95b8-03cc2402b451","4513 BCBA",
"f9b48428-3a7f-401d-aa34-8c173597ac05","f9b48428-3a7f-401d-aa34-8c173597ac05","Consultation and Collaboration Problem Solving","SPY 607","Graduate","2","Both","f659a922-e548-47bc-831d-c047213b3bd0","Psychology","Graduate","0C55E065-6200-E411-BEB5-00505683000D","University of Southern Maine","Fifth Edition","6a065514-7366-4a20-8861-03ef73e0ce42","4074 BCBA",
"6c2dd755-9a77-4e45-853f-7bb66e77d41b","6c2dd755-9a77-4e45-853f-7bb66e77d41b","Performance Management","PSY 456","Undergraduate","3","On-Campus","3f083ea6-fe1d-40df-a8ed-cbac78ee2de3","Humanities and Social Sciences","Undergraduate","1976118D-DD5A-E911-8106-000C29A8E632","Oregon Institute of Technology","Fourth Edition","178b06b6-cbab-456c-a600-04710c223743","4164 BCaBA",
"5820e492-46eb-e711-90d9-000d3a30c887","5820e492-46eb-e711-90d9-000d3a30c887","Intensive Practicum I, II, III (Applied Behavior Analysis and Clinical Science)","BACS 671, 672, 673","Graduate","may vary","On-Campus","8f33eaa2-5230-458c-a2ad-dcfeec286300","Health Professions","Graduate","D111E85F-6200-E411-BEB5-00505683000D","Rollins College","Fourth Edition","87171fa0-4d60-4f56-84a2-04747ee8181b","4375 BCBA",
"3ab41ca2-7f67-40e0-b63f-33183ea2b4d8","3ab41ca2-7f67-40e0-b63f-33183ea2b4d8","Psychological Learning Theories","EDP 5003","Graduate","3","Hybrid","70d2e576-8853-4a3e-aee7-5e3ba9a48d9e","Educational Psychology","Graduate","FE338BC8-66AD-E411-B490-0050569C00A7","University of Texas at San Antonio","Fifth Edition","cc667ddc-29fc-4a96-a457-047762073976","4522 BCBA",
"7df1add1-f7d0-4d39-981f-85f6f2bb2bca","7df1add1-f7d0-4d39-981f-85f6f2bb2bca","Advanced Behavior Management","RSED 7230","Graduate","3","Both","ebbd6bb6-acd5-42f4-95f9-501685f7c0d3","Special Education","Graduate","D99548F8-CC92-E511-A86B-0050569C00A7","Auburn University","Fourth Edition","27c1daa4-5d42-4929-bd63-047be6e6c3c0","4407 BCBA",
"427bd3cf-a1c5-e311-a74a-00155d445b26","427bd3cf-a1c5-e311-a74a-00155d445b26","Behavioral Research","PPP 771","Graduate","3","On-Campus","f386c8b5-8599-4267-a4c4-f053cdc78b80","Pupil Personnel Services","","04725887-195A-E911-8106-000C29A8E632","Fresno Pacific University","Fourth Edition","454cab4f-80a3-479c-a633-049f31ae42c4","4251 BCBA",
"263070fe-5d77-e511-be6b-00155da948a4","263070fe-5d77-e511-be6b-00155da948a4","Identification, Assessment and Discretionary","BEHABA 5","Graduate","3","On-Campus","ffa155bc-494f-4425-b31b-a3e7f870956e","Instituto Walden 4","","A201FB4A-A15B-E911-8106-000C29A8E632","Instituto Walden 4","Fourth Edition","f84a177d-800b-43cc-892e-04cafc5bc69a","4342 BCBA",
"84a3668e-8907-422c-9f60-6d933e72577d","84a3668e-8907-422c-9f60-6d933e72577d","Ethics for Applied Behavior Analysis","EDP 6403","Graduate","3","Hybrid","70d2e576-8853-4a3e-aee7-5e3ba9a48d9e","Educational Psychology","Graduate","FE338BC8-66AD-E411-B490-0050569C00A7","University of Texas at San Antonio","Fifth Edition","2274cbf5-79dc-473b-8892-053614657242","4522 BCBA",
"4d95420c-cb45-e511-b1ee-00155da948a4","4d95420c-cb45-e511-b1ee-00155da948a4","5: Identification, assessment and discretionary","5","Graduate","45","On-Campus","dec7a683-5963-48ac-a55e-3ce6dde84f4c","Psychology","","2941B958-925B-E911-8106-000C29A8E632","University of Gdansk","Fourth Edition","184cf287-0770-4cbe-bb78-05362b76c695","4340 BCBA",
"fa7b3492-ce8f-4182-8345-27ae4dfd3c95","fa7b3492-ce8f-4182-8345-27ae4dfd3c95","[Summer 2017] Research into Practice: Autism","7420/7426","Graduate","3","Both","ebbd6bb6-acd5-42f4-95f9-501685f7c0d3","Special Education","Graduate","D99548F8-CC92-E511-A86B-0050569C00A7","Auburn University","Fourth Edition","0d86d901-c189-4418-bfb1-0544b030b7ba","4407 BCBA",
"6980c4f2-3836-4b7b-95f5-9d3ab88d750a","6980c4f2-3836-4b7b-95f5-9d3ab88d750a","Concepts and Principles of Behavior Analyisis II","AB 541DC","Graduate","3","Hybrid","cea9dbdf-bcc7-4d0e-a323-6e0e35f9cd58","Dept of Applied Behavior Analysis-DC Campus","","0C50719A-2A14-E411-B0E2-0050569C00A7","Chicago School of Professional Psychology, The","Fifth Edition","660cb1da-90c4-4adc-ae00-054e7597fa64","4498 BCBA DC",
"3dcac50a-60b9-e511-bc34-00155da948a4","3dcac50a-60b9-e511-bc34-00155da948a4","Ethical and Professional Conduct","8","Graduate","3","On-Campus","1af9772d-02ea-4e87-ad17-e3a19f0889e7","psychology","","91B4DBDF-295A-E911-8106-000C29A8E632","Kore University - IESCUM","Fourth Edition","bd40c16a-35e5-4747-b0b6-0554d1423080","4360 BCBA",
"cef2d008-e2aa-4834-83e0-763d82dec5ca","cef2d008-e2aa-4834-83e0-763d82dec5ca","Case Study Analysis in Applied Psychology (Applied Behaviour Analysis) ","PSYC551-xxC(HAM or NET)","Graduate","80","Both","1f75564c-fc6c-447c-b4ec-8545dd6f40f5","School of Psychology","","1D55E065-6200-E411-BEB5-00505683000D","University of Waikato","Fourth Edition","366f2687-c120-4a22-88f4-059c4e03a493","4143 BCBA",
"0c8f1077-4188-4857-82ce-6a479a365fdf","0c8f1077-4188-4857-82ce-6a479a365fdf","Developmental Disabilities and Dual Diagnosis","0","Undergraduate","3","On-Campus","d362a00b-7557-4d04-aa0c-28ffa10d3cf4","School of Social & Community Services","","732E3946-1F5A-E911-8106-000C29A8E632","Humber College","Fourth Edition","dbc43344-fc29-4f37-a4e6-059d1ad8167f","4102 BCaBA",
"7dede831-c608-49eb-8fef-da57f77868e2","7dede831-c608-49eb-8fef-da57f77868e2","Ethics and Professionalism in Applied Behavior Analysis","SPCD 597","Graduate","3","On-Campus","b3f647f5-f0b3-4be5-9de1-0eddb16ecb72","Department of Special Education","","1C14E85F-6200-E411-BEB5-00505683000D","University of New Mexico","Fourth Edition","764ae247-5f55-4bbd-ac3b-05ae98120fcb","4121 BCBA",
"079f2800-5bbb-4889-b3a8-a3fc2b6ce998","079f2800-5bbb-4889-b3a8-a3fc2b6ce998","Applied Behavior Analysis IV","PSYC 44DG","Undergraduate","3","On-Campus","abc678e0-2b78-4c6f-984e-d8724e22d869","Behavioural Psychology","","B9332234-015B-E911-8106-000C29A8E632","Saint Lawrence College","Fifth Edition","d9ea42c1-755a-44a5-a7b3-05b1fc425aa2","4259 BCaBA",
"76b45db2-ff27-4a63-bcf8-eddc25672756","76b45db2-ff27-4a63-bcf8-eddc25672756","Behavior Analysis in Developmental Disabilities and Autism ","EAB5710","Graduate","3","On-Campus","7d052d99-0138-4ade-ac14-3323909c3261","Psychology","","8E76915A-E856-E911-8106-000C29A8E632","Florida State University","Fourth Edition","1f19c843-1223-466a-9dd6-05c5788b3778","4046 BCBA",
"3d421564-d0e7-e511-a589-00155da948a4","3d421564-d0e7-e511-a589-00155da948a4","Identification, Assessment and Discretionary","BEHABA-5","Graduate","3","Hybrid","9a7a5817-0b47-46d1-b7aa-6f59b335ce9c","SEEK ABA-Taiwan","","2090EE70-A15B-E911-8106-000C29A8E632","CAPPDR-SEEK","Fourth Edition","e54b71ef-dc35-405a-8458-05dd3170376b","4081 BCaBA",
