RC Institution,RC Department,RC Registered Course Name,VCS #,VCS Name,Course Title,Course Number,Course Credit level,Course Credit Hours,Edition,Alternate Course Values,Start Date,End Date,Start Year,End Year,Start Semester,End Semester,Start Quarter,End Quarter,A1,B1,C1,C2,D1,D2,D3,D4,D5,E1,5A,5B (B1),5B (B2),5B (B3),5C1-C2,5D1,5D2-D5 (D2),5D2-D5 (D3)
ABA Training Solutions,,4509 BCBA,4509, BCBA,Ethics,BACS 5005,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,45,,,,,,,
ABA Training Solutions,,4509 BCBA,4509, BCBA,Selecting and Implementing Interventions,BACS 5006,Graduate,2,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,30,
ABA Training Solutions,,4509 BCBA,4509, BCBA,Behaviour Assessment,BACS 5003,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,45,,
ABA Training Solutions,,4509 BCBA,4509, BCBA,Philosophical Underpinnings & Concepts and Principles I,BACS 5001,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,45,,,,,
ABA Training Solutions,,4509 BCBA,4509, BCBA,Measurement & Experimental Design,BACS 5002,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,45,,,
ABA Training Solutions,,4509 BCBA,4509, BCBA,Personnel Supervision & Management,BACS 5008,Graduate,2,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,,30
ABA Training Solutions,,4509 BCBA,4509, BCBA,Philosophical Underpinnings & Concepts and Principles II,BACS 5007,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,45,,,,,,
ABA Training Solutions,,4509 BCBA,4509, BCBA,Behavior Change Procedures,BACS 5004,Graduate,2,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,30,
ABA-CARDP,ABA-CARDP,4384 BCBA,4384, BCBA,Behavior Change Applications,BEHABA-4,Graduate,45,Fourth Edition,{Term:Term 2}{Year:2019/2020},1/9/2016,,,,,,,,,,,,,45,,,,,,,,,,,,
ABA-CARDP,ABA-CARDP,4384 BCBA,4384, BCBA,"Identification, Assessment, and Discretionary",BEHABA-5,Graduate,45,Fourth Edition,{Term:Term 3}{Year:2019/2020},1/9/2016,,,,,,,,,,,,30,,,,,15,,,,,,,,
ABA-CARDP,ABA-CARDP,4384 BCBA,4384, BCBA,Concepts and Principles of Behavior Analysis,BEHABA-1,Graduate,45,Fourth Edition,{Term:Term 1}{Year:2019/2020},1/9/2016,,,,,,,,,45,,,,,,,,,,,,,,,,
ABA-CARDP,ABA-CARDP,4384 BCBA,4384, BCBA,Intervention and Implementation II,BEHABA-9,Graduate,30,Fourth Edition,{Term:Term 6}{Year:2019/2020},1/9/2016,,,,,,,,,,,,,,5,5,5,15,,,,,,,,
ABA-CARDP,ABA-CARDP,4384 BCBA,4384, BCBA,Measurement and Experimental Design II,BEHABA-7,Graduate,30,Fourth Edition,{Term:Term 4}{Year:2019/2020},1/9/2016,,,,,,,,,,15,15,,,,,,,,,,,,,,
ABA-CARDP,ABA-CARDP,4384 BCBA,4384, BCBA,Ethical and Professional Conduct,BEHABA-8,Graduate,30,Fourth Edition,{Term:Term 5}{Year:2019/2020},1/9/2016,,,,,,,,30,,,,,,,,,,,,,,,,,
ABA-CARDP,ABA-CARDP,4384 BCBA,4384, BCBA,Measurement and Experimental Design I,BEHABA-2,Graduate,15,Fourth Edition,{Term:Term1}{Year:2019/2020},1/9/2016,,,,,,,,,,10,5,,,,,,,,,,,,,,
ABA-CARDP,ABA-CARDP,4384 BCBA,4384, BCBA,Intervention and Implementation I,BEHABA-6,Graduate,15,Fourth Edition,{Term:Term 3}{Year:2019/2020},1/9/2016,,,,,,,,,,,,,,5,5,5,,,,,,,,,
ABA-CARDP,ABA-CARDP,4384 BCBA,4384, BCBA,Introduction to Ethical and Professional Conduct,BEHABA-3,Graduate,15,Fourth Edition,{Term:Term 2}{Year:2019/2020},1/9/2016,,,,,,,,15,,,,,,,,,,,,,,,,,
ABA-CARDP,ABA-CARDP,4385 BCaBA,4385, BCaBA,Concepts and Principles of Behavior Analysis,BEHABA-1,Graduate,45,Fourth Edition,{Term:Term 1}{Year:2019/2020},1/9/2016,,,,,,,,,45,,,,,,,,,,,,,,,,
ABA-CARDP,ABA-CARDP,4385 BCaBA,4385, BCaBA,Behavior Change Applications,BEHABA-4,Graduate,45,Fourth Edition,{Term:Term 2}{Year:2019/2020},1/9/2016,,,,,,,,,,,,,45,,,,,,,,,,,,
ABA-CARDP,ABA-CARDP,4385 BCaBA,4385, BCaBA,Introduction to Ethical and Professional Conduct,BEHABA-3,Graduate,15,Fourth Edition,{Term:Term 2}{Year:2019/2020},1/9/2016,,,,,,,,15,,,,,,,,,,,,,,,,,
ABA-CARDP,ABA-CARDP,4385 BCaBA,4385, BCaBA,Measurement and Experimental Design I,BEHABA-2,Graduate,15,Fourth Edition,{Term:Term 1}{Year:2019/2020},1/9/2016,,,,,,,,,,10,5,,,,,,,,,,,,,,
ABA-CARDP,ABA-CARDP,4385 BCaBA,4385, BCaBA,Intervention and Implementation I,BEHABA-6,Graduate,15,Fourth Edition,{Term:Term 3}{Year:2019/2020},1/9/2016,,,,,,,,,,,,5,,5,,5,,,,,,,,,
ABA-CARDP,ABA-CARDP,4385 BCaBA,4385, BCaBA,"Identification, Assessment, and Discretionary",BEHABA-5,Graduate,45,Fourth Edition,{Term:Term 3}{Year:2019/2020},1/9/2016,,,,,,,,,,,,30,,,,,15,,,,,,,,
Alcanzando,Alcanzando,4355 BCaBA,4355, BCaBA,Behaviour Change Applications,BEHABA-4,Graduate,45,Fourth Edition,{Title:Behaviour Change Applications},,,2015,,Fall,,,,,,,,,45,,,,,,,,,,,,
Alcanzando,Alcanzando,4356 BCBA,4356, BCBA,Measurement and Experimental Design II,BEHABA-7,Graduate,30,Fourth Edition,{Title:Measurement and Experimental Design II},,,2015,,Fall,,,,,,15,15,,,,,,,,,,,,,,
Alcanzando,Alcanzando,4355 BCaBA,4355, BCaBA,Concepts and Principles of Behaviour Analysis,BEHABA-1,Graduate,45,Fourth Edition,{Title:Concepts and Principles of Behaviour Analysis},,,2015,,Fall,,,,,45,,,,,,,,,,,,,,,,
Alcanzando,Alcanzando,4356 BCBA,4356, BCBA,Intervention and Implementation II ,BEHABA-9,Graduate,30,Fourth Edition,{Title:Intervention and Implementation II },,,2015,,Fall,,,,,,,,,,5,5,5,15,,,,,,,,
Alcanzando,Alcanzando,4356 BCBA,4356, BCBA,"Identification, Assessment, and Discretionary",BEHABA-5,Graduate,45,Fourth Edition,"{Title:Identification, Assessment, and Discretionary}",,,2015,,Fall,,,,,,,,30,,,,,15,,,,,,,,
Alcanzando,Alcanzando,4356 BCBA,4356, BCBA,Concepts and Principles of Behaviour Analysis,BEHABA-1,Graduate,45,Fourth Edition,{Title:Concepts and Principles of Behaviour Analysis},,,2015,,Fall,,,,,45,,,,,,,,,,,,,,,,
Alcanzando,Alcanzando,4355 BCaBA,4355, BCaBA,Introduction to Ethical and Professional,BEHABA-3,Graduate,15,Fourth Edition,{Title:Introduction to Ethical and Professional},,,2015,,Fall,,,,15,,,,,,,,,,,,,,,,,
Alcanzando,Alcanzando,4356 BCBA,4356, BCBA,Behaviour Change Applications,BEHABA-4,Graduate,45,Fourth Edition,{Title:Behaviour Change Applications},,,2015,,Fall,,,,,,,,,45,,,,,,,,,,,,
Alcanzando,Alcanzando,4355 BCaBA,4355, BCaBA," Identification, Assessment, and Discretionary",BEHABA-5,Graduate,45,Fourth Edition,"{Title:Identification, Assessment, and Discretionary}",,,2015,,Fall,,,,,,,,30,,,,,15,,,,,,,,
Alcanzando,Alcanzando,4356 BCBA,4356, BCBA,Introduction to Ethical and Professional Conduct ,BEHABA-3,Graduate,15,Fourth Edition,{Title:Introduction to Ethical and Professional Conduct },,,2015,,Fall,,,,15,,,,,,,,,,,,,,,,,
Alcanzando,Alcanzando,4355 BCaBA,4355, BCaBA,Measurement and Experimental Design I,BEHABA-2,Graduate,15,Fourth Edition,{Title:Measurement and Experimental Design I},,,2015,,Fall,,,,,,10,5,,,,,,,,,,,,,,
Alcanzando,Alcanzando,4356 BCBA,4356, BCBA,Intervention and Implementation I,BEHABA-6,Graduate,15,Fourth Edition,{Title:Intervention and Implementation I},,,2015,,Fall,,,,,,,,,,5,5,5,,,,,,,,,
Alcanzando,Alcanzando,4355 BCaBA,4355, BCaBA,Intervention and Implementation I,BEHABA-6,Graduate,15,Fourth Edition,{Title:Intervention and Implementation I},,,2015,,Fall,,,,,,,,,,5,5,5,,,,,,,,,
Alcanzando,Alcanzando,4356 BCBA,4356, BCBA,Measurement and Experimental Design I,BEHABA-2,Graduate,15,Fourth Edition,{Title:Measurement and Experimental Design I},,,2015,,Fall,,,,,,10,5,,,,,,,,,,,,,,
Alcanzando,Alcanzando,4356 BCBA,4356, BCBA,Ethical and Professional Conduct,BEHABA-8,Graduate,30,Fourth Edition,{Title:Ethical and Professional Conduct},,,2015,,Fall,,,,30,,,,,,,,,,,,,,,,,
American University of Beirut,Psychology,4506 BCBA,4506, BCBA,Philosophical Underpinnings & Concepts and Principles I,GCS-1,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,45,,,,,
American University of Beirut,Psychology,4506 BCBA,4506, BCBA,Selecting and Implementing Interventions,GCS-6,Graduate,2,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,30,
American University of Beirut,Psychology,4506 BCBA,4506, BCBA,Behaviour Change Procedures,GCS-4,Graduate,2,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,30,
American University of Beirut,Psychology,4506 BCBA,4506, BCBA,Behaviour Assessment,GCS-3,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,45,,
American University of Beirut,Psychology,4506 BCBA,4506, BCBA,Philosophical Underpinnings & Concepts and Principles II,GCS-7,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,45,,,,,,
American University of Beirut,Psychology,4506 BCBA,4506, BCBA,Measurement & Experimental Design,GCS-2,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,45,,,
American University of Beirut,Psychology,4506 BCBA,4506, BCBA,Personnel Supervision & Management,GCS-8,Graduate,2,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,,30
American University of Beirut,Psychology,4506 BCBA,4506, BCBA,Ethics,GCS-5,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,45,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Professional Seminar in ABA  3,PY 681,Graduate,1,Fourth Edition,{Title:Prof Seminar in ABA 3},,,2012,,Fall,,,,5,,,,,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,(Summer 2019) Fundamental Elements of Behavior Change,PYB 5650,Graduate,3,Fourth Edition,{Title:Behavior Change Fundamentals},,,2019,,Summer,,,,,,,,,45,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Concepts of Behavior Analysis,PYB 562,Graduate,3,Fourth Edition,{Title:Concepts of Behavior Analysis},,,2012,,Fall,,,,,45,,,,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,(Spring 2019) Performance Management and Supervision,PYI 5630,Graduate,3,Fourth Edition,{Title:Perf Management & Supervision},,,2019,,Spring,,,,,,,,,,,,45,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,(Spring 2019) Behavioral Assessment,PYI 5601,Graduate,3,Fourth Edition,{Title:Behavioral Assessment},,,2019,,Spring,,,,,,,,45,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,(Spring 2019) Radical Behaviorism: Philosophical Underpinnings,PYB 5670,Graduate,3,Fourth Edition,{Title:Radical Behaviorism},,,2019,,Spring,,,,,,,,,,,,,45,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Concepts & Principles of Behavior Analysis,PYB 5620,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,45,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,(Spring 2020) Behavior Analytic Procedures and Interventions,PYI 5381,Graduate,3,Fourth Edition,{Title:Beh Analytic Procedures},,,2020,,Spring,,,,,,,,,,10,15,20,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Identify Problem & Assessment,PYI 560,Graduate,2,Fourth Edition,{Title:Identify Problem & Assessment},,,2012,,Fall,,,,,,,,30,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,[Fall 2018] Research Methods in Behavior Anlaysis,PYI 5620,Graduate,3,Fourth Edition,{Title:Research Meth Behav Analysis},,,2018,,Fall,,,,,,25,20,,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Behavior Analytic Procedures and Interventions,PYI 5381,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,45,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Research Methods in Behavior Analysis,PYI 5620,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,45,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,[Fall 2018] Ethical Considerations in Behavior Analysis,PYB 5601,Graduate,3,Fourth Edition,{Title:Ethics in ABA},,,2018,,Fall,,,,45,,,,,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Ethical Considerations in ABA,PYB 5601,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,45,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Behavior Change Fundamentals,PYB 565,Graduate,3,Fourth Edition,{Title:Behavior Change Fundamentals},,,2012,,Fall,,,,,,,,,45,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Ethics in Behavior Analysis 1,PYB 560,Graduate,1,Fourth Edition,{Title:Ethics in Behavior Analysis 1},,,2012,,Fall,,,,15,,,,,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Research Methods in Behavior Analysis,PYI 562,Graduate,3,Fourth Edition,{Title:Research Meth Behav Analysis},,,2012,,Fall,,,,,,25,20,,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Professional Seminar in ABA  2,PY 680,Graduate,1,Fourth Edition,{Title:Prof Seminar in ABA 2},,,2012,,Fall,,,,5,,,,,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Performance Management and Supervision,PYI 5630,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,,45
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Introduction to Autism Spectrum Disorders,PYB 530,Graduate,1,Fourth Edition,{Title:Intro Autism Spectrum Disords},,,2012,,Fall,,,,,,,,,,,,,15,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Fundamental Elements of Behavior Change,PYB 5650,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,,45,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,ABA Interventions & Implementations,PYI 538,Graduate,3,Fourth Edition,{Title:ABA Interventns Implementatns},,,2012,,Fall,,,,,,,,,,10,10,10,15,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Behavioral Assessment,PSI 5601,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,,,,,45,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Radical Behaviorism: Philosophical Underpinnings,PYB 5670,Graduate,3,Fifth Edition,,,,2018,,Fall,,,,,,,,,,,,,,,45,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Behavioral Methods Lab,PYB 564,Graduate,1,Fourth Edition,{Title:Behavioral Methods Lab},,,2012,,Fall,,,,,,,,,,,,,15,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Ethics in Behavior Analysis 2,PYB 561,Graduate,1,Fourth Edition,{Title:Ethics in Behavior Analysis 2},,,2012,,Fall,,,,15,,,,,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,Professional Seminar in ABA 1,PY 682,Graduate,1,Fourth Edition,{Title:Prof Seminar in ABA 1},,,2012,,Fall,,,,5,,,,,,,,,,,,,,,,,
Antioch University,Applied Behavior Analysis Certificate Program,4022 BCBA,4022, BCBA,[Fall 2018] Concepts & Principles of Behavior Analysis,PYB 5620,Graduate,3,Fourth Edition,{Title:Concepts of Behavior Analysis},,,2018,,Fall,,,,,45,,,,,,,,,,,,,,,,
Arcadia University,Education,51174 BCBA,51174, BCBA,Educational Research and Experimental Design,ED681A,Graduate,3,Fifth Edition,{Term:Spring}{Year:2020},1/13/2020,,,,,,,,,,,,,,,,,,,,,,45,,,
Arcadia University,Education,51174 BCBA,51174, BCBA,Functional Behavior Assessment and Behavior Change,ED682A,Graduate,3,Fifth Edition,{Term:Spring}{Year:2020},1/13/2020,,,,,,,,,,,,,,,,,,,,,,,20,25,
Arcadia University,Education,51174 BCBA,51174, BCBA,Concepts and Principles of ABA,ED661A,Graduate,3,Fifth Edition,{Term:Fall}{Year:2019},8/28/2019,,,,,,,,,,,,,,,,,,,,45,,,,,
Arcadia University,Education,51174 BCBA,51174, BCBA,ABA Training and Supervising Human Service Staff,ED686A,Graduate,3,Fifth Edition,{Term:Spring}{Year:2020},1/13/2020,,,,,,,,,,,,,,,,,,,,,,,,15,30
Arcadia University,Education,51174 BCBA,51174, BCBA,"Behavioral Consultation in Homes, Schools, and Communities",ED684A,Graduate,3,Fifth Edition,{Term:Summer}{Year:2020},5/18/2020,,,,,,,,,,,,,,,,,,,15,,,,15,15,
Arcadia University,Education,51174 BCBA,51174, BCBA,Ethics and Professionalism,ED685A,Graduate,3,Fifth Edition,{Number:ED685A}{Term:Fall}{Year:2019},8/28/2019,,,,,,,,,,,,,,,,,,45,,,,,,,
Arcadia University,Education,51174 BCBA,51174, BCBA,Behavior Analysis and Principles of Development,ED683A,Graduate,3,Fifth Edition,{Term:Summer}{Year:2020},5/18/2020,,,,,,,,,,,,,,,,,,,30,,,,10,5,
Arcadia University,Education,4088 BCBA,4088, BCBA,ABA IV: Behavior Analysis and Child Development,ED683,Graduate,3,Fourth Edition,{Term:Fall}{Year:2011},8/31/2011,,,,,,,,,8,1,,7,10,5,4,4,5,,,,,,,,
Arcadia University,Education,4088 BCBA,4088, BCBA,ABA III: Strategies for Youth with EBD,ED682,Graduate,3,Fourth Edition,{Term:Spring}{Year:2011},8/31/2011,,,,,,,,,,3,,7,35,,,,,,,,,,,,
Arcadia University,Education,4088 BCBA,4088, BCBA,ABA I: Principles and Teaching Strategies,ED661,Graduate,3,Fourth Edition,{Term:Fall}{Year:2011},8/31/2011,8/16/2019,,,,,,,,33,3,3,4,,2,,,,,,,,,,,
Arcadia University,Education,4088 BCBA,4088, BCBA,"ABA V: Behavior Consultation in Homes, Schools and Communities",ED684,Graduate,3,Fourth Edition,{Term:Fall}{Year:2011},8/31/2011,,,,,,,,3,,6,3,12,,,6,10,5,,,,,,,,
Arcadia University,Education,4088 BCBA,4088, BCBA,Ethics and Professionalism,ED685,Graduate,3,Fourth Edition,{Number:ED685A}{Term:Fall}{Year:2011}{Title:Ethics and Professionalism}{Number:ED685A},8/31/2011,8/23/2019,,,,,,,45,,,,,,,,,,,,,,,,,
Arcadia University,Education,4088 BCBA,4088, BCBA,ABA II: Procedures for Behavior Change,ED681,Graduate,3,Fourth Edition,{Term:Fall}{Year:2011},8/31/2011,12/15/2019,,,,,,,,6,12,21,,,3,,3,,,,,,,,,
Arizona State University - Online,Special Education,51171 BCBA,51171, BCBA,Philosophical Foundations of ABA,SPE 563,Graduate,3,Fifth Edition,,1/7/2019,,,,,,,,,,,,,,,,,,,45,,,,,,
Arizona State University - Online,Special Education,51171 BCBA,51171, BCBA,Behavior Assessment in ABA,SPE 527,Graduate,3,Fifth Edition,{Number:SPE 598},1/1/2019,,,,,,,,,,,,,,,,,,,,,,,45,,
Arizona State University - Online,Special Education,51171 BCBA,51171, BCBA,Ethics of Applied Behavior Analysis,SPE 567,Graduate,3,Fifth Edition,,1/1/2019,,,,,,,,,,,,,,,,,,45,,,,,,,
Arizona State University - Online,Special Education,51171 BCBA,51171, BCBA,Behavior Change Procedures: Implementing Interventions in Behavior Analysis,SPE 560,Graduate,3,Fifth Edition,,3/16/2020,,,,,,,,,,,,,,,,,,,,,,,,45,
Arizona State University - Online,Special Education,51171 BCBA,51171, BCBA,Personnel Suprvision and OBM in Educational Settings,SPE 562,Graduate,3,Fifth Edition,,5/20/2019,,,,,,,,,,,,,,,,,,,,,,,,15,30
Arizona State University - Online,Special Education,51171 BCBA,51171, BCBA,Concepts and Principles of ABA,SPE 526,Graduate,3,Fifth Edition,,1/1/2019,,,,,,,,,,,,,,,,,,,,45,,,,,
Arizona State University - Online,Special Education,51171 BCBA,51171, BCBA,"Measurement, Data Display, Interpretation, and Experimental Design",SPE 525,Graduate,3,Fifth Edition,,5/7/2019,,,,,,,,,,,,,,,,,,,,,,45,,,
Arizona State University - Online,Special Education,4064 BCBA,4064, BCBA,Research Methods in Applied Behavior Analysis,SPE 569,Graduate,3,Fourth Edition,,5/20/2013,,,,,,,,,,5,10,15,,,,,15,,,,,,,,
Arizona State University - Online,Special Education,4064 BCBA,4064, BCBA,Ethics of Applied Behavior Analysis,SPE 598/ SPE 567,Graduate,3,Fourth Edition,,5/20/2013,,,,,,,,45,,,,,,,,,,,,,,,,,
Arizona State University - Online,Special Education,4064 BCBA,4064, BCBA,Applied Behavior Analysis in Inclusive Settings,SPE 566,Graduate,3,Fourth Edition,,5/20/2013,,,,,,,,,20,15,,,10,,,,,,,,,,,,
Arizona State University - Online,Special Education,4064 BCBA,4064, BCBA,Behavior Assessment,SPE 598/ SPE 568,Graduate,3,Fourth Edition,,5/20/2013,,,,,,,,,,5,10,15,,,,,15,,,,,,,,
Arizona State University - Online,Special Education,4064 BCBA,4064, BCBA,Behavior Change Systems,SPE 598/ SPE 565,Graduate,3,Fourth Edition,,5/20/2013,,,,,,,,,,,,,15,10,10,10,,,,,,,,,
Arizona State University - Online,Special Education,4064 BCBA,4064, BCBA,"Advanced Concepts, Principles and Procedures in Applied Behavior Analysis (bridge course"")""",SPE 598,Graduate,3,Fourth Edition,,1/13/2014,6/1/2017,,,,,,,,,5,,,,10,10,10,10,,,,,,,,
Arizona State University - Online,Special Education,4064 BCBA,4064, BCBA,Methods of ABA for Exceptional Populations,SPE 531,Graduate,3,Fourth Edition,,5/20/2013,,,,,,,,,25,,,,20,,,,,,,,,,,,
Arizona State University-Dept of Psychology,Psychology,4290 BCBA,4290, BCBA,Applied Behavior Analysis in Developmental Disorders,PSB 578,Graduate,3,Fourth Edition,,1/6/2019,,,,,,,,,,,,5,5,5,0,5,,,,,,,,,
Arizona State University-Dept of Psychology,Psychology,4290 BCBA,4290, BCBA,Advanced Research Methods in ABA,PSB 511,Graduate,2,Fourth Edition,,1/6/2019,,,,,,,,,,18,12,,,,,,,,,,,,,,
